county_fips_code,year,unit_desc,Value
01083,2017,BU,10800.0
01051,2012,BU,576.0
02090,2017,BU,224542.0
02090,2007,BU,165279.0
02020,2017,BU,675.0
04001,2007,BU,211.0
04025,2017,BU,3537.0
04003,2017,BU,212668.0
04003,2012,BU,396499.0
04003,2007,BU,160829.0
04009,2017,BU,233628.0
04009,2012,BU,98549.0
04009,2007,BU,69896.0
04013,2017,BU,499350.0
04013,2012,BU,1717413.0
04013,2007,BU,1554793.0
04019,2012,BU,182879.0
04019,2007,BU,209273.0
04021,2017,BU,1071869.0
04021,2012,BU,2473139.0
04021,2007,BU,1295734.0
04027,2017,BU,40103.0
04027,2012,BU,68611.0
06093,2017,BU,335321.0
06093,2012,BU,320417.0
06093,2007,BU,346850.0
06035,2007,BU,126165.0
06049,2017,BU,618257.0
06049,2012,BU,311147.0
06049,2007,BU,273815.0
06053,2017,BU,173755.0
06053,2012,BU,207525.0
06053,2007,BU,191728.0
06069,2012,BU,7162.0
06079,2017,BU,514234.0
06079,2012,BU,705362.0
06079,2007,BU,322913.0
06021,2017,BU,41816.0
06021,2012,BU,51457.0
06021,2007,BU,56443.0
06067,2012,BU,29167.0
06067,2007,BU,33718.0
06095,2017,BU,98247.0
06095,2012,BU,166556.0
06095,2007,BU,24127.0
06103,2007,BU,73339.0
06113,2017,BU,264260.0
06113,2012,BU,160560.0
06113,2007,BU,114549.0
06019,2017,BU,215934.0
06019,2012,BU,478338.0
06019,2007,BU,351675.0
06029,2017,BU,131381.0
06029,2012,BU,211070.0
06029,2007,BU,225883.0
06031,2012,BU,413044.0
06031,2007,BU,154009.0
06039,2017,BU,4925.0
06039,2012,BU,66216.0
06039,2007,BU,11817.0
06047,2017,BU,89484.0
06047,2012,BU,162512.0
06077,2017,BU,33546.0
06077,2012,BU,57500.0
06077,2007,BU,18518.0
06099,2012,BU,18234.0
06099,2007,BU,27649.0
06107,2017,BU,13492.0
06107,2012,BU,47407.0
06107,2007,BU,31336.0
06037,2012,BU,800647.0
06065,2012,BU,67279.0
06071,2007,BU,7584.0
08081,2007,BU,14720.0
08013,2017,BU,75693.0
08013,2012,BU,80096.0
08013,2007,BU,131406.0
08069,2017,BU,107098.0
08069,2012,BU,116348.0
08069,2007,BU,218508.0
08075,2017,BU,15888.0
08087,2012,BU,35554.0
08123,2017,BU,715977.0
08123,2012,BU,422350.0
08123,2007,BU,654817.0
08001,2012,BU,6902.0
08063,2007,BU,29800.0
08125,2017,BU,57762.0
08007,2017,BU,7208.0
08029,2012,BU,3529.0
08029,2007,BU,5340.0
08067,2017,BU,7340.0
08083,2017,BU,13500.0
08085,2017,BU,9745.0
08085,2012,BU,13900.0
08085,2007,BU,49837.0
08003,2017,BU,1281067.0
08003,2012,BU,1017130.0
08003,2007,BU,1010612.0
08021,2017,BU,645537.0
08021,2012,BU,472867.0
08021,2007,BU,752969.0
08023,2017,BU,574290.0
08023,2012,BU,393265.0
08023,2007,BU,685525.0
08105,2017,BU,2457795.0
08105,2012,BU,2074275.0
08105,2007,BU,1956357.0
08109,2017,BU,1964846.0
08109,2012,BU,1834537.0
08109,2007,BU,1566791.0
09003,2017,BU,738.0
10003,2017,BU,183521.0
10003,2012,BU,355889.0
10003,2007,BU,119038.0
10001,2017,BU,708200.0
10001,2012,BU,1211669.0
10001,2007,BU,956122.0
10005,2017,BU,633319.0
10005,2012,BU,1243406.0
10005,2007,BU,513589.0
13175,2017,BU,12000.0
13069,2012,BU,7092.0
16009,2017,BU,70061.0
16009,2012,BU,184739.0
16009,2007,BU,273380.0
16017,2017,BU,8502.0
16017,2012,BU,2500.0
16021,2017,BU,125718.0
16021,2012,BU,194578.0
16021,2007,BU,231407.0
16035,2012,BU,80912.0
16035,2007,BU,36049.0
16049,2017,BU,283709.0
16049,2012,BU,810676.0
16049,2007,BU,876334.0
16055,2012,BU,66037.0
16055,2007,BU,58847.0
16057,2017,BU,249526.0
16057,2012,BU,900660.0
16057,2007,BU,692235.0
16061,2017,BU,177406.0
16061,2012,BU,902517.0
16061,2007,BU,920896.0
16069,2017,BU,361312.0
16069,2012,BU,782162.0
16069,2007,BU,811464.0
16001,2017,BU,70686.0
16001,2012,BU,155923.0
16001,2007,BU,112610.0
16027,2017,BU,45612.0
16027,2012,BU,150615.0
16027,2007,BU,285043.0
16039,2007,BU,227869.0
16045,2017,BU,65129.0
16045,2012,BU,62257.0
16045,2007,BU,34484.0
16073,2017,BU,83002.0
16073,2012,BU,150299.0
16073,2007,BU,178870.0
16087,2017,BU,64797.0
16087,2012,BU,47714.0
16087,2007,BU,85670.0
16013,2017,BU,885940.0
16013,2012,BU,1672438.0
16013,2007,BU,814653.0
16025,2017,BU,391952.0
16025,2012,BU,492660.0
16025,2007,BU,324692.0
16031,2017,BU,4445401.0
16031,2012,BU,2899466.0
16031,2007,BU,3300219.0
16047,2017,BU,127293.0
16047,2012,BU,373509.0
16047,2007,BU,210090.0
16053,2017,BU,1803055.0
