county_fips_code,year,unit_desc,Value
01083,2017,$,52000.0
02090,2017,$,629000.0
02020,2017,$,1000.0
04003,2017,$,763000.0
04003,2012,$,2001000.0
04003,2007,$,689000.0
04009,2017,$,1104000.0
04009,2012,$,556000.0
04013,2017,$,2144000.0
04013,2012,$,9106000.0
04019,2007,$,806000.0
04021,2017,$,2222000.0
04021,2012,$,13224000.0
06093,2017,$,1382000.0
06093,2012,$,1751000.0
06093,2007,$,1924000.0
06035,2007,$,184000.0
06049,2007,$,943000.0
06053,2017,$,618000.0
06053,2012,$,963000.0
06069,2012,$,27000.0
06079,2017,$,1886000.0
06079,2012,$,3900000.0
06079,2007,$,901000.0
06021,2012,$,297000.0
06021,2007,$,213000.0
06067,2007,$,140000.0
06095,2017,$,456000.0
06095,2007,$,106000.0
06113,2017,$,1460000.0
06113,2012,$,919000.0
06113,2007,$,474000.0
06019,2012,$,3013000.0
06019,2007,$,1506000.0
06029,2017,$,467000.0
06029,2012,$,1245000.0
06031,2012,$,2169000.0
06039,2017,$,21000.0
06039,2012,$,146000.0
06039,2007,$,32000.0
06047,2017,$,391000.0
06047,2012,$,959000.0
06047,2007,$,441000.0
06077,2017,$,154000.0
06077,2012,$,319000.0
06077,2007,$,86000.0
06099,2012,$,68000.0
06099,2007,$,99000.0
06107,2017,$,28000.0
06107,2012,$,198000.0
06107,2007,$,98000.0
06065,2012,$,351000.0
08013,2017,$,523000.0
08013,2012,$,515000.0
08013,2007,$,366000.0
08069,2007,$,849000.0
08075,2017,$,100000.0
08087,2012,$,227000.0
08123,2017,$,3706000.0
08123,2012,$,2538000.0
08123,2007,$,2151000.0
08001,2012,$,43000.0
08063,2007,$,78000.0
08125,2017,$,294000.0
08007,2017,$,37000.0
08029,2012,$,16000.0
08029,2007,$,9000.0
08083,2017,$,68000.0
08085,2017,$,43000.0
08085,2012,$,87000.0
08085,2007,$,127000.0
08003,2017,$,6089000.0
08003,2007,$,3357000.0
08021,2017,$,2926000.0
08021,2012,$,3094000.0
08021,2007,$,2548000.0
08023,2017,$,2851000.0
08023,2012,$,2630000.0
08023,2007,$,1631000.0
08105,2017,$,12581000.0
08105,2012,$,13420000.0
08105,2007,$,6970000.0
08109,2017,$,9217000.0
08109,2012,$,11816000.0
08109,2007,$,5598000.0
09003,2017,$,2000.0
10003,2007,$,266000.0
10001,2017,$,2136000.0
10001,2007,$,1966000.0
10005,2012,$,5035000.0
10005,2007,$,1087000.0
13175,2017,$,16000.0
13069,2012,$,45000.0
16009,2017,$,221000.0
16009,2012,$,923000.0
16009,2007,$,1017000.0
16017,2017,$,27000.0
16017,2012,$,12000.0
16021,2017,$,798000.0
16021,2012,$,1026000.0
16021,2007,$,616000.0
16035,2012,$,484000.0
16035,2007,$,148000.0
16049,2017,$,1087000.0
16049,2012,$,4523000.0
16049,2007,$,2978000.0
16055,2012,$,410000.0
16057,2012,$,5169000.0
16061,2017,$,700000.0
16061,2007,$,3753000.0
16069,2017,$,1332000.0
16069,2012,$,4232000.0
16069,2007,$,3314000.0
16001,2012,$,535000.0
16001,2007,$,141000.0
16027,2017,$,266000.0
16027,2007,$,1249000.0
16039,2007,$,818000.0
16045,2017,$,122000.0
16045,2012,$,152000.0
16045,2007,$,81000.0
16073,2007,$,521000.0
16075,2012,$,121000.0
16075,2007,$,14000.0
16087,2017,$,218000.0
16087,2012,$,282000.0
16087,2007,$,248000.0
16013,2017,$,4825000.0
16013,2012,$,10571000.0
16025,2017,$,2048000.0
16025,2012,$,3534000.0
16025,2007,$,1462000.0
16031,2017,$,23167000.0
16031,2012,$,16864000.0
16031,2007,$,11104000.0
16047,2017,$,671000.0
16047,2012,$,1634000.0
16047,2007,$,635000.0
16053,2017,$,8313000.0
16053,2012,$,16062000.0
16053,2007,$,6393000.0
16063,2017,$,1273000.0
16063,2012,$,2755000.0
16063,2007,$,752000.0
16067,2017,$,26711000.0
16067,2012,$,23344000.0
16067,2007,$,13961000.0
16083,2017,$,12818000.0
16083,2012,$,25240000.0
16083,2007,$,9702000.0
16005,2017,$,1794000.0
16005,2012,$,2299000.0
16005,2007,$,866000.0
16007,2017,$,2701000.0
16007,2012,$,1587000.0
16007,2007,$,477000.0
16011,2017,$,10476000.0
16011,2012,$,6923000.0
16011,2007,$,6079000.0
16019,2017,$,33003000.0
16019,2012,$,44735000.0
16019,2007,$,22472000.0
16023,2012,$,7185000.0
16023,2007,$,3088000.0
16029,2017,$,15404000.0
16029,2012,$,19219000.0
16029,2007,$,6647000.0
