county_fips_code,year,unit_desc,Value
04003,2009,BU / ACRE,129.0
04003,2008,BU / ACRE,125.0
04003,2007,BU / ACRE,138.0
04009,2010,BU / ACRE,83.6
04009,2009,BU / ACRE,116.0
04009,2007,BU / ACRE,94.0
04012,2009,BU / ACRE,151.0
04013,2016,BU / ACRE,127.1
04013,2010,BU / ACRE,125.0
04013,2009,BU / ACRE,116.0
04013,2008,BU / ACRE,114.0
04013,2007,BU / ACRE,105.0
04019,2009,BU / ACRE,98.0
04019,2008,BU / ACRE,82.0
04019,2007,BU / ACRE,107.0
04021,2021,BU / ACRE,136.7
04021,2016,BU / ACRE,118.5
04021,2010,BU / ACRE,137.5
04021,2009,BU / ACRE,117.0
04021,2008,BU / ACRE,130.0
04021,2007,BU / ACRE,112.0
04027,2010,BU / ACRE,90.0
04027,2009,BU / ACRE,84.0
04027,2008,BU / ACRE,95.5
04027,2007,BU / ACRE,85.0
06089,2010,BU / ACRE,60.0
06093,2021,BU / ACRE,61.0
06093,2013,BU / ACRE,93.3
06093,2010,BU / ACRE,76.6
06093,2007,BU / ACRE,79.2
06035,2013,BU / ACRE,46.7
06035,2007,BU / ACRE,150.0
06049,2020,BU / ACRE,55.2
06049,2013,BU / ACRE,90.2
06049,2007,BU / ACRE,100.4
06053,2020,BU / ACRE,41.0
06053,2015,BU / ACRE,36.4
06053,2009,BU / ACRE,28.0
06053,2008,BU / ACRE,48.0
06053,2007,BU / ACRE,92.8
06079,2021,BU / ACRE,44.0
06079,2020,BU / ACRE,52.3
06079,2019,BU / ACRE,56.7
06079,2018,BU / ACRE,57.7
06079,2016,BU / ACRE,49.9
06079,2012,BU / ACRE,33.2
06079,2011,BU / ACRE,41.4
06079,2010,BU / ACRE,43.3
06079,2009,BU / ACRE,21.0
06079,2008,BU / ACRE,29.0
06079,2007,BU / ACRE,28.7
06021,2009,BU / ACRE,93.0
06021,2007,BU / ACRE,104.0
06095,2019,BU / ACRE,91.6
06095,2017,BU / ACRE,72.7
06095,2012,BU / ACRE,54.0
06103,2008,BU / ACRE,47.0
06103,2007,BU / ACRE,40.0
06113,2018,BU / ACRE,97.5
06113,2015,BU / ACRE,80.0
06113,2014,BU / ACRE,35.2
06113,2013,BU / ACRE,64.3
06113,2010,BU / ACRE,73.5
