county_fips_code,year,unit_desc,Value
01059,2012,BU,483766.576
01059,2007,BU,84679.504
01077,2012,BU,1852727.016
01009,2017,BU,123177.632
01009,2012,BU,219889.2
01015,2012,BU,145879.104
01043,2017,BU,1398664.2000000002
01043,2012,BU,618135.0
01043,2007,BU,409889.696
01055,2007,BU,198510.24
01095,2017,BU,614527.8
01095,2012,BU,258425.72
01057,2012,BU,379110.00800000003
01121,2017,BU,585204.776
01001,2017,BU,169022.8
01001,2012,BU,327550.44800000003
01001,2007,BU,119947.16
01047,2012,BU,435253.76
01051,2012,BU,368061.488
01085,2017,BU,445219.16000000003
01085,2012,BU,380555.96
01085,2007,BU,216738.248
01101,2012,BU,1508877.52
01119,2017,BU,400929.52
01003,2012,BU,604902.76
01003,2007,BU,443381.968
01013,2017,BU,429417.016
01031,2012,BU,437565.28
01031,2007,BU,717132.816
01041,2017,BU,190025.96
01041,2012,BU,332702.92
01041,2007,BU,238920.04
01045,2017,BU,454115.472
01045,2007,BU,504955.712
01061,2007,BU,442015.04000000004
01069,2007,BU,535382.672
04017,2017,BU,275520.80000000005
04025,2017,BU,21299.2
04003,2007,BU,5450224.152000001
04009,2012,BU,1783891.408
04013,2012,BU,14520754.224000001
04013,2007,BU,12323837.256000001
04021,2017,BU,22169808.864
04021,2012,BU,22410533.632000003
04021,2007,BU,16669318.728
05007,2017,BU,408735.04000000004
05007,2007,BU,248061.2
05149,2017,BU,390927.4
05029,2012,BU,459855.864
05045,2017,BU,271198.6
05073,2017,BU,2083258.04
05073,2012,BU,2597025.16
05091,2017,BU,1463815.0
05003,2017,BU,3549462.872
06023,2012,BU,179262.928
06013,2012,BU,1392421.0080000001
06085,2012,BU,11566.720000000001
06097,2017,BU,601853.152
06097,2012,BU,870386.064
06007,2012,BU,329129.68000000005
06007,2007,BU,515187.408
06021,2017,BU,5229938.288000001
06021,2012,BU,9177032.592
06021,2007,BU,9636909.936
06067,2017,BU,9028437.768
06067,2012,BU,7378533.5600000005
06067,2007,BU,11096713.232
06095,2012,BU,3034936.776
06095,2007,BU,3132338.8
06103,2007,BU,1035159.096
06113,2017,BU,2528038.68
06113,2012,BU,4302990.0
06019,2017,BU,22346847.616
06019,2012,BU,32146794.704
06019,2007,BU,37423087.968
06029,2017,BU,28702483.112
06029,2012,BU,26559653.688
06029,2007,BU,31496031.872
06031,2017,BU,34557920.56
06031,2012,BU,62373863.024000004
06031,2007,BU,59251945.84
06039,2017,BU,18028029.968000002
06039,2012,BU,22720687.584000003
06039,2007,BU,21890618.888
06047,2017,BU,85268434.34400001
06047,2012,BU,97962241.0
06047,2007,BU,77406492.69600001
06077,2017,BU,47216150.464
06077,2012,BU,58181672.304000005
06077,2007,BU,51541714.536000006
06099,2017,BU,50971288.856000006
06099,2012,BU,64635949.824
06099,2007,BU,61313585.712000005
06107,2017,BU,98760822.176
06107,2012,BU,119363662.744
06107,2007,BU,124219282.96800001
06109,2012,BU,1125.52
06025,2017,BU,2882477.3200000003
08013,2017,BU,1731784.512
08013,2012,BU,1187547.04
08013,2007,BU,1185802.44
08069,2017,BU,7973677.568
08069,2012,BU,8746467.816
08069,2007,BU,6575852.9520000005
08075,2017,BU,21572099.784
08075,2012,BU,13169775.096
08075,2007,BU,14200725.672
08087,2017,BU,35675191.544
08087,2012,BU,24754664.688
08087,2007,BU,17157028.984
08115,2017,BU,9940397.544
08115,2012,BU,5525188.728
08115,2007,BU,5648431.392
08123,2017,BU,83736787.312
08123,2012,BU,58798560.672000006
08123,2007,BU,58920262.664000005
08001,2017,BU,5162245.696
08001,2012,BU,2175779.4960000003
08001,2007,BU,2232329.984
08017,2012,BU,4014718.432
08017,2007,BU,5541739.4
08035,2012,BU,11032.960000000001
08039,2007,BU,338532.304
08041,2012,BU,94125.456
08061,2007,BU,3048577.4
08063,2017,BU,34100259.296000004
08063,2012,BU,16311454.672
08063,2007,BU,19931946.336
08073,2012,BU,1000577.6240000001
08073,2007,BU,2664681.528
08095,2017,BU,20713105.616
08095,2012,BU,14711890.592
08095,2007,BU,13378346.904
08121,2017,BU,15622713.696
08121,2012,BU,8546087.672
08121,2007,BU,7402149.424000001
08125,2017,BU,50576143.304
08125,2012,BU,44584238.112
08125,2007,BU,45630911.312
08029,2017,BU,2866264.008
08029,2012,BU,2337994.112
08029,2007,BU,2215498.9680000003
08045,2017,BU,203920.80000000002
08077,2017,BU,2464168.568
08077,2012,BU,2275226.4560000002
08077,2007,BU,2114570.032
08083,2017,BU,1068282.7200000002
08085,2017,BU,2911863.112
08085,2012,BU,5861683.936000001
08085,2007,BU,4603060.848
08009,2017,BU,6529283.232
08009,2012,BU,5436937.656
08009,2007,BU,5867181.888
08011,2017,BU,2321606.304
08011,2012,BU,633945.256
08011,2007,BU,2016462.7680000002
08025,2017,BU,86582.816
08089,2017,BU,2625238.824
08089,2012,BU,1836395.808
08089,2007,BU,2149081.936
08099,2017,BU,8340032.0879999995
08099,2012,BU,3382530.5360000003
08099,2007,BU,6186780.728
08101,2017,BU,2420340.472
08101,2012,BU,1295037.76
08101,2007,BU,1655755.9840000002
09001,2017,BU,19906.056
09003,2017,BU,1087837.192
09003,2012,BU,870175.904
09003,2007,BU,1120169.968
09005,2017,BU,2819452.2
09005,2012,BU,3011652.568
09005,2007,BU,3333548.416
09009,2017,BU,649144.456
09009,2007,BU,781917.9600000001
09011,2017,BU,4530326.552
09011,2012,BU,4406372.136
09011,2007,BU,4660529.384000001
09013,2017,BU,3391183.6
09013,2012,BU,3871438.7920000004
09013,2007,BU,4168501.0640000002
09015,2017,BU,4034166.864
09015,2012,BU,4375815.1680000005
09015,2007,BU,4989076.272
10003,2017,BU,3933062.76
10003,2012,BU,3417174.7199999997
10003,2007,BU,2286288.088
10001,2017,BU,10147798.104
10001,2012,BU,7165070.032
10001,2007,BU,6278598.432
10005,2017,BU,20207845.192
10005,2012,BU,16581845.768
10005,2007,BU,12451282.08
12033,2012,BU,500410.2
12059,2017,BU,325651.064
12059,2007,BU,85818.8
12065,2017,BU,1141599.84
12065,2007,BU,613238.92
12113,2017,BU,227150.40000000002
12131,2012,BU,28364.088
12003,2007,BU,280140.76
12023,2017,BU,837431.64
12067,2012,BU,967166.8400000001
12121,2017,BU,4043593.6240000003
12121,2012,BU,4025861.8000000003
12121,2007,BU,3418277.816
12123,2017,BU,6786.8
12001,2012,BU,2010571.088
12001,2007,BU,1977632.544
12041,2017,BU,4223419.824
12041,2012,BU,3731111.2240000004
12041,2007,BU,2383702.376
12075,2017,BU,3606985.648
12075,2007,BU,2174811.72
12099,2007,BU,1133336.256
13129,2012,BU,1033864.88
13129,2007,BU,273035.48
13295,2012,BU,630477.264
13139,2017,BU,1255480.1840000001
13139,2012,BU,766470.408
13139,2007,BU,198926.336
13187,2017,BU,223684.896
13187,2007,BU,39355.728
13291,2012,BU,90283.024
13291,2007,BU,161681.632
13311,2012,BU,782679.104
13311,2007,BU,582527.3200000001
13011,2012,BU,52134.04
13011,2007,BU,58784.608
13137,2017,BU,743586.528
13147,2012,BU,557796.544
13241,2017,BU,18737.648
13045,2007,BU,6114.496
13193,2017,BU,6743787.1680000005
13193,2012,BU,3819814.432
13193,2007,BU,2624767.0
13133,2007,BU,243640.16
13153,2012,BU,468952.4
13169,2007,BU,236565.98400000003
13175,2017,BU,562622.0
13175,2012,BU,1146332.72
13175,2007,BU,930503.216
13237,2007,BU,487951.64
13303,2017,BU,840993.632
13303,2012,BU,1043583.328
13031,2017,BU,882526.264
13033,2017,BU,8073641.208000001
13033,2012,BU,4600728.6
13033,2007,BU,4367514.768
13043,2012,BU,89810.68
13163,2017,BU,2868767.6
13163,2012,BU,2294613.04
13163,2007,BU,1768345.368
13165,2012,BU,767061.488
13165,2007,BU,728878.8
13251,2012,BU,1217157.04
13087,2017,BU,2284122.856
13087,2012,BU,4110978.08
13087,2007,BU,2567837.0
13131,2017,BU,3096013.04
13131,2012,BU,1321184.28
13131,2007,BU,919515.544
13201,2007,BU,1954894.12
13205,2017,BU,2118017.2
13205,2007,BU,3533747.168
13243,2012,BU,1832383.2719999999
13243,2007,BU,1604024.92
13261,2007,BU,2638061.704
13275,2017,BU,785449.256
13275,2007,BU,1905957.2
13307,2007,BU,205443.64
13027,2017,BU,3532008.472
13027,2012,BU,3942439.8320000004
13027,2007,BU,3284218.56
13069,2007,BU,983325.808
13071,2017,BU,1115208.208
13071,2007,BU,1062404.784
13093,2012,BU,515274.744
13155,2007,BU,3440955.576
13185,2012,BU,546802.128
13315,2017,BU,937171.64
13321,2007,BU,1693362.8
13001,2017,BU,898345.04
13001,2012,BU,1093478.784
13001,2007,BU,746990.7440000001
13005,2017,BU,1621518.8
13005,2007,BU,930130.976
13049,2012,BU,18786.048000000003
13267,2012,BU,1018781.552
13305,2007,BU,1392045.872
16001,2017,BU,14494868.424
16001,2012,BU,9769355.040000001
16001,2007,BU,9057730.672
16027,2017,BU,28273091.728
16027,2012,BU,30675475.648000002
16027,2007,BU,20687167.8
16039,2017,BU,15786156.72
16039,2012,BU,11300307.4
16039,2007,BU,8243514.224
16045,2017,BU,2652986.096
16045,2012,BU,2163478.664
16045,2007,BU,2614184.0
16073,2017,BU,17265765.464
16073,2012,BU,16412501.448
16073,2007,BU,12491639.552000001
16075,2017,BU,8102182.7360000005
16075,2012,BU,8610205.08
16075,2007,BU,5801949.448
16087,2017,BU,1136732.52
16087,2012,BU,1288715.168
16087,2007,BU,1380686.784
16031,2017,BU,32959405.856000002
16031,2012,BU,22660328.64
16031,2007,BU,20518694.112
16047,2017,BU,70944022.272
16047,2012,BU,64063444.104
16047,2007,BU,53526087.224
16053,2017,BU,50625423.896000005
16053,2012,BU,26465552.656000003
16053,2007,BU,30650797.312000003
16063,2017,BU,16975704.856
16063,2012,BU,13755735.512
16063,2007,BU,8811899.768
16067,2012,BU,8705337.456
16067,2007,BU,7102904.208000001
16083,2017,BU,51785710.472
16083,2012,BU,38930532.008
16083,2007,BU,36785145.032000005
16011,2017,BU,3132143.3600000003
16011,2012,BU,5319083.968
16011,2007,BU,4509349.24
16019,2007,BU,4229419.304
16041,2017,BU,5058520.728
16041,2012,BU,3517672.552
16041,2007,BU,2409886.2800000003
16043,2007,BU,657526.824
16051,2007,BU,9260754.592
16077,2017,BU,3608411.016
16077,2012,BU,1328102.624
16077,2007,BU,1907676.24
17011,2017,BU,53228451.288
17011,2012,BU,38819901.632
17011,2007,BU,58977186.88
17015,2017,BU,32483184.656
17015,2012,BU,24622999.024
17015,2007,BU,32260365.824
