county_fips_code,year,unit_desc,Value
01033,2017,$,13024000.0
01033,2012,$,12631000.0
01033,2007,$,5064000.0
01059,2017,$,815000.0
01059,2012,$,2488000.0
01059,2007,$,120000.0
01077,2017,$,9584000.0
01077,2012,$,11942000.0
01077,2007,$,5646000.0
01079,2017,$,16384000.0
01079,2012,$,19798000.0
01079,2007,$,8577000.0
01083,2017,$,13917000.0
01083,2012,$,15444000.0
01083,2007,$,7857000.0
01089,2017,$,15843000.0
01089,2012,$,16343000.0
01089,2007,$,6880000.0
01093,2012,$,572000.0
01093,2007,$,1379000.0
01103,2017,$,1550000.0
01103,2012,$,2530000.0
01103,2007,$,1299000.0
01133,2012,$,34000.0
01009,2012,$,831000.0
01009,2007,$,438000.0
01015,2017,$,191000.0
01015,2012,$,877000.0
01015,2007,$,470000.0
01019,2017,$,3088000.0
01019,2012,$,2850000.0
01019,2007,$,640000.0
01029,2017,$,340000.0
01029,2012,$,218000.0
01043,2017,$,2976000.0
01043,2012,$,2310000.0
01043,2007,$,321000.0
01049,2017,$,8296000.0
01049,2012,$,8391000.0
01049,2007,$,3183000.0
01055,2017,$,459000.0
01055,2007,$,568000.0
01071,2017,$,12060000.0
01071,2012,$,15881000.0
01071,2007,$,6413000.0
01095,2017,$,2345000.0
01095,2012,$,1756000.0
01095,2007,$,1717000.0
01115,2012,$,62000.0
01017,2012,$,251000.0
01017,2007,$,20000.0
01021,2017,$,300000.0
01021,2012,$,87000.0
01021,2007,$,26000.0
01037,2012,$,8000.0
01057,2017,$,500000.0
01057,2012,$,1103000.0
01057,2007,$,704000.0
01073,2017,$,56000.0
01073,2012,$,23000.0
01075,2012,$,364000.0
01075,2007,$,85000.0
01081,2017,$,78000.0
01081,2007,$,72000.0
01107,2017,$,2137000.0
01111,2012,$,506000.0
01111,2007,$,103000.0
01117,2017,$,729000.0
01117,2012,$,619000.0
01117,2007,$,114000.0
01121,2017,$,2247000.0
01121,2012,$,6902000.0
01121,2007,$,2313000.0
01123,2012,$,316000.0
01125,2017,$,950000.0
01125,2012,$,2188000.0
01125,2007,$,943000.0
01127,2017,$,234000.0
01127,2012,$,362000.0
01001,2017,$,367000.0
01001,2012,$,460000.0
01011,2017,$,377000.0
01011,2007,$,147000.0
01047,2017,$,7512000.0
01047,2012,$,2898000.0
01047,2007,$,949000.0
01051,2017,$,1745000.0
01051,2012,$,2493000.0
01051,2007,$,608000.0
01063,2017,$,2000.0
01063,2007,$,1000.0
01065,2012,$,50000.0
01065,2007,$,688000.0
01085,2017,$,777000.0
01085,2012,$,1616000.0
01087,2012,$,710000.0
01087,2007,$,554000.0
01091,2017,$,936000.0
01091,2012,$,636000.0
01091,2007,$,51000.0
01101,2017,$,626000.0
01101,2012,$,2985000.0
01105,2017,$,3769000.0
01105,2012,$,1980000.0
01105,2007,$,151000.0
01119,2017,$,529000.0
01119,2012,$,288000.0
01119,2007,$,133000.0
01003,2017,$,5227000.0
01003,2012,$,3818000.0
01003,2007,$,1555000.0
01013,2017,$,1629000.0
01035,2017,$,629000.0
01035,2012,$,1039000.0
01035,2007,$,149000.0
01053,2017,$,1319000.0
01053,2012,$,1887000.0
01053,2007,$,1782000.0
01099,2017,$,673000.0
01099,2012,$,1269000.0
01099,2007,$,357000.0
01129,2012,$,373000.0
01129,2007,$,270000.0
01131,2017,$,309000.0
01005,2017,$,828000.0
01005,2012,$,1324000.0
01005,2007,$,967000.0
01031,2017,$,1162000.0
01031,2012,$,1802000.0
01031,2007,$,2145000.0
01039,2017,$,1224000.0
01039,2012,$,3372000.0
01039,2007,$,453000.0
01041,2017,$,672000.0
01041,2012,$,1867000.0
01041,2007,$,230000.0
01045,2017,$,1007000.0
01045,2012,$,1403000.0
01045,2007,$,482000.0
01061,2017,$,2200000.0
01061,2012,$,2677000.0
01061,2007,$,828000.0
01067,2017,$,3664000.0
01067,2012,$,2923000.0
01067,2007,$,1060000.0
01069,2017,$,929000.0
01069,2012,$,1805000.0
01069,2007,$,1301000.0
01109,2017,$,1063000.0
01109,2012,$,1047000.0
01109,2007,$,551000.0
01113,2017,$,650000.0
01113,2012,$,1475000.0
01113,2007,$,166000.0
04017,2017,$,350000.0
04017,2007,$,34000.0
04025,2017,$,61000.0
04003,2017,$,20803000.0
04003,2012,$,27027000.0
04003,2007,$,13302000.0
04009,2017,$,9590000.0
04009,2012,$,9809000.0
04009,2007,$,3288000.0
04011,2007,$,67000.0
04013,2017,$,9346000.0
04013,2012,$,14937000.0
04013,2007,$,8648000.0
04021,2017,$,20474000.0
04021,2012,$,21445000.0
04021,2007,$,11843000.0
05007,2017,$,429000.0
05007,2012,$,259000.0
05007,2007,$,20000.0
05015,2017,$,23000.0
05143,2012,$,204000.0
05049,2017,$,333000.0
05021,2017,$,18252000.0
05021,2012,$,46343000.0
