county_fips_code,year,unit_desc,Value
06021,2016,BU / ACRE,1259.284
06021,2008,BU / ACRE,1283.9360000000001
06021,2007,BU / ACRE,1227.5680000000002
06067,2008,BU / ACRE,1061.096
06067,2007,BU / ACRE,1215.3152
06095,2007,BU / ACRE,1258.9728
06115,2008,BU / ACRE,787.36
06019,2016,BU / ACRE,1130.516
06019,2011,BU / ACRE,1023.2800000000001
06019,2008,BU / ACRE,1169.2
06019,2007,BU / ACRE,1178.884
06029,2021,BU / ACRE,1141.2
06029,2016,BU / ACRE,1239.42
06029,2015,BU / ACRE,1106.4
06029,2012,BU / ACRE,1142.252
06029,2007,BU / ACRE,1189.8208
06031,2013,BU / ACRE,1162.332
06031,2012,BU / ACRE,1219.536
06031,2011,BU / ACRE,1192.316
06031,2008,BU / ACRE,1211.884
06031,2007,BU / ACRE,1188.9472
06039,2007,BU / ACRE,1225.9360000000001
06047,2016,BU / ACRE,1195.92
06047,2015,BU / ACRE,1189.652
06047,2013,BU / ACRE,1275.72
06047,2012,BU / ACRE,1238.952
06047,2011,BU / ACRE,1271.5200000000002
06047,2007,BU / ACRE,1219.252
06077,2021,BU / ACRE,1402.7240000000002
06077,2018,BU / ACRE,1280.5720000000001
06077,2017,BU / ACRE,1272.604
06077,2016,BU / ACRE,1303.188
06077,2015,BU / ACRE,1181.268
06077,2013,BU / ACRE,1285.404
06077,2012,BU / ACRE,1311.0720000000001
06077,2011,BU / ACRE,1280.404
06077,2010,BU / ACRE,1312.3880000000001
06077,2008,BU / ACRE,1332.672
06077,2007,BU / ACRE,1230.3360000000002
06099,2018,BU / ACRE,1271.988
06099,2014,BU / ACRE,1266.672
06099,2012,BU / ACRE,1272.972
06099,2011,BU / ACRE,1189.4360000000001
06099,2007,BU / ACRE,1236.9360000000001
06107,2013,BU / ACRE,1350.188
06107,2012,BU / ACRE,1255.8680000000002
06107,2011,BU / ACRE,1267.652
06107,2007,BU / ACRE,1260.8096
06071,2007,BU / ACRE,984.2
08069,2008,BU / ACRE,1028.464
08069,2007,BU / ACRE,1055.464
08075,2008,BU / ACRE,925.36
08075,2007,BU / ACRE,790.572
08087,2007,BU / ACRE,1043.7800000000002
08115,2007,BU / ACRE,957.86
08123,2008,BU / ACRE,1132.516
