county_fips_code,year,unit_desc,Value
01043,2007,CWT / ACRE,100.0
01003,2007,CWT / ACRE,248.0
04013,2008,CWT / ACRE,286.0
08125,2007,CWT / ACRE,380.0
08003,2018,CWT / ACRE,386.0
08003,2016,CWT / ACRE,394.0
08003,2015,CWT / ACRE,386.0
08003,2014,CWT / ACRE,379.0
08003,2013,CWT / ACRE,365.0
08003,2012,CWT / ACRE,358.0
08003,2011,CWT / ACRE,385.0
08003,2010,CWT / ACRE,393.0
08003,2009,CWT / ACRE,382.0
08003,2008,CWT / ACRE,382.0
08003,2007,CWT / ACRE,365.0
08023,2014,CWT / ACRE,424.0
08105,2018,CWT / ACRE,393.0
08105,2017,CWT / ACRE,383.0
08105,2016,CWT / ACRE,378.0
08105,2015,CWT / ACRE,385.0
08105,2013,CWT / ACRE,335.0
08105,2012,CWT / ACRE,380.0
08105,2011,CWT / ACRE,402.0
08105,2010,CWT / ACRE,393.0
08105,2009,CWT / ACRE,407.0
08105,2008,CWT / ACRE,399.0
08105,2007,CWT / ACRE,355.0
08109,2018,CWT / ACRE,389.0
08109,2016,CWT / ACRE,403.0
08109,2015,CWT / ACRE,387.0
08109,2014,CWT / ACRE,395.0
08109,2013,CWT / ACRE,394.0
08109,2012,CWT / ACRE,380.0
08109,2011,CWT / ACRE,394.0
08109,2010,CWT / ACRE,383.0
08109,2009,CWT / ACRE,422.0
08109,2008,CWT / ACRE,389.0
08109,2007,CWT / ACRE,345.0
16027,2011,CWT / ACRE,534.0
16027,2010,CWT / ACRE,554.0
16027,2009,CWT / ACRE,490.0
16027,2008,CWT / ACRE,569.0
16027,2007,CWT / ACRE,496.0
16039,2011,CWT / ACRE,563.0
16039,2010,CWT / ACRE,565.0
16039,2009,CWT / ACRE,499.0
16039,2008,CWT / ACRE,525.0
16039,2007,CWT / ACRE,489.0
16073,2011,CWT / ACRE,533.0
16073,2010,CWT / ACRE,528.0
16073,2009,CWT / ACRE,526.0
16073,2008,CWT / ACRE,518.0
16073,2007,CWT / ACRE,495.0
16075,2007,CWT / ACRE,445.0
16031,2017,CWT / ACRE,464.0
16031,2012,CWT / ACRE,463.0
16031,2011,CWT / ACRE,448.0
16031,2010,CWT / ACRE,427.0
16031,2009,CWT / ACRE,484.0
16031,2008,CWT / ACRE,459.0
16031,2007,CWT / ACRE,426.0
16047,2012,CWT / ACRE,430.0
16047,2009,CWT / ACRE,469.0
16047,2008,CWT / ACRE,500.0
16047,2007,CWT / ACRE,447.0
16053,2012,CWT / ACRE,453.0
16053,2011,CWT / ACRE,430.0
16053,2010,CWT / ACRE,437.0
16053,2009,CWT / ACRE,489.0
16053,2008,CWT / ACRE,449.0
16053,2007,CWT / ACRE,431.0
16067,2013,CWT / ACRE,443.0
16067,2011,CWT / ACRE,406.0
16067,2010,CWT / ACRE,413.0
16067,2009,CWT / ACRE,453.0
16067,2008,CWT / ACRE,421.0
16067,2007,CWT / ACRE,390.0
16083,2017,CWT / ACRE,519.0
16083,2011,CWT / ACRE,465.0
16083,2010,CWT / ACRE,492.0
16083,2009,CWT / ACRE,500.0
16083,2008,CWT / ACRE,437.0
16083,2007,CWT / ACRE,432.0
16005,2014,CWT / ACRE,412.0
16005,2012,CWT / ACRE,400.0
16005,2010,CWT / ACRE,367.0
16005,2009,CWT / ACRE,409.0
16005,2008,CWT / ACRE,386.0
16005,2007,CWT / ACRE,372.0
16011,2018,CWT / ACRE,425.0
16011,2017,CWT / ACRE,422.0
16011,2016,CWT / ACRE,409.0
16011,2015,CWT / ACRE,391.0
16011,2014,CWT / ACRE,400.0
16011,2013,CWT / ACRE,395.0
16011,2012,CWT / ACRE,406.0
16011,2011,CWT / ACRE,384.0
16011,2010,CWT / ACRE,367.0
16011,2009,CWT / ACRE,385.0
16011,2008,CWT / ACRE,367.0
16011,2007,CWT / ACRE,346.0
16019,2014,CWT / ACRE,381.0
16019,2013,CWT / ACRE,359.0
16019,2012,CWT / ACRE,360.0
16019,2011,CWT / ACRE,370.0
16019,2010,CWT / ACRE,355.0
16019,2009,CWT / ACRE,373.0
16019,2008,CWT / ACRE,330.0
16019,2007,CWT / ACRE,278.0
16029,2017,CWT / ACRE,356.0
16029,2014,CWT / ACRE,296.0
16029,2013,CWT / ACRE,313.0
16029,2012,CWT / ACRE,290.0
16029,2011,CWT / ACRE,295.0
16029,2010,CWT / ACRE,277.0
16029,2009,CWT / ACRE,297.0
16029,2008,CWT / ACRE,274.0
16029,2007,CWT / ACRE,278.0
16043,2016,CWT / ACRE,417.0
16043,2014,CWT / ACRE,364.0
16043,2013,CWT / ACRE,356.0
16043,2012,CWT / ACRE,385.0
16043,2011,CWT / ACRE,343.0
16043,2010,CWT / ACRE,324.0
16043,2009,CWT / ACRE,345.0
16043,2008,CWT / ACRE,333.0
16043,2007,CWT / ACRE,350.0
16051,2011,CWT / ACRE,471.0
16051,2010,CWT / ACRE,412.0
16051,2009,CWT / ACRE,472.0
16051,2008,CWT / ACRE,391.0
16051,2007,CWT / ACRE,426.0
16065,2015,CWT / ACRE,379.0
16065,2014,CWT / ACRE,384.0
16065,2013,CWT / ACRE,369.0
16065,2012,CWT / ACRE,385.0
16065,2011,CWT / ACRE,367.0
16065,2010,CWT / ACRE,323.0
16065,2009,CWT / ACRE,381.0
16065,2008,CWT / ACRE,319.0
16065,2007,CWT / ACRE,321.0
16077,2017,CWT / ACRE,459.0
16077,2011,CWT / ACRE,414.0
16077,2010,CWT / ACRE,391.0
16077,2009,CWT / ACRE,422.0
16077,2008,CWT / ACRE,376.0
16077,2007,CWT / ACRE,386.0
16081,2012,CWT / ACRE,285.0
16081,2011,CWT / ACRE,233.0
16081,2010,CWT / ACRE,215.0
16081,2009,CWT / ACRE,276.0
16081,2008,CWT / ACRE,246.0
16081,2007,CWT / ACRE,249.0
23003,2015,CWT / ACRE,320.0
23003,2014,CWT / ACRE,291.0
23003,2013,CWT / ACRE,289.0
23003,2012,CWT / ACRE,276.0
23003,2011,CWT / ACRE,263.0
23003,2010,CWT / ACRE,292.0
23019,2012,CWT / ACRE,265.0
23019,2011,CWT / ACRE,267.0
23019,2010,CWT / ACRE,240.0
27027,2007,CWT / ACRE,235.0
27089,2012,CWT / ACRE,190.0
27119,2015,CWT / ACRE,322.0
27119,2013,CWT / ACRE,312.0
27119,2012,CWT / ACRE,281.0
27119,2009,CWT / ACRE,264.0
27119,2008,CWT / ACRE,240.0
27119,2007,CWT / ACRE,295.0
27141,2010,CWT / ACRE,378.0
27141,2009,CWT / ACRE,539.0
27141,2008,CWT / ACRE,400.0
27141,2007,CWT / ACRE,425.0
27153,2010,CWT / ACRE,403.0
30047,2015,CWT / ACRE,316.0
30047,2014,CWT / ACRE,281.0
30047,2013,CWT / ACRE,312.0
30047,2011,CWT / ACRE,322.0
30047,2009,CWT / ACRE,374.0
30047,2008,CWT / ACRE,330.0
30047,2007,CWT / ACRE,355.0
30007,2013,CWT / ACRE,302.0
30001,2012,CWT / ACRE,310.0
30001,2010,CWT / ACRE,330.0
30031,2014,CWT / ACRE,300.0
30031,2013,CWT / ACRE,300.0
30031,2012,CWT / ACRE,354.0
30031,2011,CWT / ACRE,337.0
30031,2010,CWT / ACRE,344.0
30031,2009,CWT / ACRE,334.0
30031,2008,CWT / ACRE,340.0
30031,2007,CWT / ACRE,345.0
30057,2012,CWT / ACRE,323.0
30057,2010,CWT / ACRE,317.0
34011,2008,CWT / ACRE,235.0
34011,2007,CWT / ACRE,260.0
34033,2008,CWT / ACRE,245.0
34033,2007,CWT / ACRE,275.0
37139,2008,CWT / ACRE,190.0
37139,2007,CWT / ACRE,185.0
37187,2008,CWT / ACRE,152.0
37187,2007,CWT / ACRE,180.0
38005,2008,CWT / ACRE,312.0
38005,2007,CWT / ACRE,329.0
38049,2007,CWT / ACRE,339.0
38035,2009,CWT / ACRE,359.0
38035,2008,CWT / ACRE,373.0
38035,2007,CWT / ACRE,376.0
38067,2009,CWT / ACRE,182.0
38067,2008,CWT / ACRE,218.0
38067,2007,CWT / ACRE,186.0
38095,2008,CWT / ACRE,229.0
38099,2008,CWT / ACRE,217.0
38099,2007,CWT / ACRE,177.0
38043,2009,CWT / ACRE,349.0
38043,2008,CWT / ACRE,387.0
38043,2007,CWT / ACRE,383.0
38097,2008,CWT / ACRE,222.0
38097,2007,CWT / ACRE,197.0
38029,2008,CWT / ACRE,386.0
38021,2007,CWT / ACRE,410.0
38073,2007,CWT / ACRE,446.0
38081,2008,CWT / ACRE,450.0
38081,2007,CWT / ACRE,375.0
41049,2011,CWT / ACRE,731.0
41049,2010,CWT / ACRE,710.0
41049,2009,CWT / ACRE,690.0
41049,2008,CWT / ACRE,665.0
41049,2007,CWT / ACRE,690.0
41001,2011,CWT / ACRE,467.0
41001,2009,CWT / ACRE,510.0
41001,2008,CWT / ACRE,440.0
41001,2007,CWT / ACRE,450.0
41059,2015,CWT / ACRE,623.0
41059,2013,CWT / ACRE,621.0
41059,2012,CWT / ACRE,607.0
41059,2011,CWT / ACRE,619.0
41059,2010,CWT / ACRE,650.0
41059,2009,CWT / ACRE,635.0
41059,2008,CWT / ACRE,550.0
41059,2007,CWT / ACRE,595.0
41061,2011,CWT / ACRE,300.0
41061,2009,CWT / ACRE,430.0
41061,2008,CWT / ACRE,330.0
41061,2007,CWT / ACRE,330.0
41035,2011,CWT / ACRE,410.0
41035,2010,CWT / ACRE,403.0
41035,2009,CWT / ACRE,450.0
41035,2008,CWT / ACRE,430.0
41035,2007,CWT / ACRE,475.0
41045,2009,CWT / ACRE,495.0
41045,2008,CWT / ACRE,460.0
41045,2007,CWT / ACRE,455.0
42049,2007,CWT / ACRE,209.0
42031,2007,CWT / ACRE,260.0
42021,2007,CWT / ACRE,223.0
42077,2007,CWT / ACRE,200.0
42079,2007,CWT / ACRE,208.0
42107,2012,CWT / ACRE,290.0
42107,2011,CWT / ACRE,283.0
42107,2010,CWT / ACRE,289.0
42107,2009,CWT / ACRE,379.0
42107,2008,CWT / ACRE,330.0
42107,2007,CWT / ACRE,219.0
42071,2007,CWT / ACRE,252.0
53057,2011,CWT / ACRE,352.0
53057,2010,CWT / ACRE,390.0
53057,2009,CWT / ACRE,410.0
53057,2008,CWT / ACRE,390.0
53057,2007,CWT / ACRE,388.0
53073,2009,CWT / ACRE,365.0
53073,2008,CWT / ACRE,364.0
53073,2007,CWT / ACRE,362.0
53005,2009,CWT / ACRE,590.0
53005,2008,CWT / ACRE,572.0
53005,2007,CWT / ACRE,716.0
53077,2009,CWT / ACRE,300.0
53077,2008,CWT / ACRE,287.0
53077,2007,CWT / ACRE,417.0
53001,2009,CWT / ACRE,668.0
53001,2008,CWT / ACRE,665.0
53001,2007,CWT / ACRE,641.0
53021,2010,CWT / ACRE,712.0
53021,2009,CWT / ACRE,630.0
53021,2008,CWT / ACRE,615.0
53021,2007,CWT / ACRE,620.0
53025,2014,CWT / ACRE,646.0
53025,2012,CWT / ACRE,612.0
53025,2011,CWT / ACRE,580.0
53025,2010,CWT / ACRE,690.0
53025,2009,CWT / ACRE,625.0
53025,2008,CWT / ACRE,606.0
53025,2007,CWT / ACRE,616.0
53043,2009,CWT / ACRE,627.0
53043,2008,CWT / ACRE,627.0
53043,2007,CWT / ACRE,607.0
53071,2009,CWT / ACRE,727.0
53071,2008,CWT / ACRE,716.0
53071,2007,CWT / ACRE,661.0
55073,2007,CWT / ACRE,430.0
55085,2007,CWT / ACRE,340.0
55067,2015,CWT / ACRE,361.0
55067,2014,CWT / ACRE,382.0
55067,2013,CWT / ACRE,363.0
55067,2012,CWT / ACRE,378.0
55067,2010,CWT / ACRE,314.0
55067,2009,CWT / ACRE,371.0
55067,2008,CWT / ACRE,328.0
55067,2007,CWT / ACRE,355.0
55001,2011,CWT / ACRE,396.0
55001,2010,CWT / ACRE,421.0
55001,2009,CWT / ACRE,481.0
55001,2008,CWT / ACRE,420.0
55001,2007,CWT / ACRE,430.0
55057,2007,CWT / ACRE,450.0
55097,2015,CWT / ACRE,472.0
55097,2014,CWT / ACRE,438.0
55097,2011,CWT / ACRE,463.0
55097,2010,CWT / ACRE,422.0
55097,2009,CWT / ACRE,496.0
55097,2008,CWT / ACRE,438.0
55097,2007,CWT / ACRE,480.0
55137,2010,CWT / ACRE,443.0
55137,2009,CWT / ACRE,497.0
55137,2008,CWT / ACRE,487.0
55137,2007,CWT / ACRE,500.0
