county_fips_code,year,unit_desc,Value
01033,2017,BU,1291100.0
01033,2012,BU,735544.0
01033,2007,BU,60176.0
01059,2017,BU,74081.0
01059,2012,BU,191437.0
01059,2007,BU,9192.0
01077,2017,BU,1264673.0
01077,2012,BU,750812.0
01077,2007,BU,111638.0
01079,2017,BU,1931074.0
01079,2012,BU,1032178.0
01079,2007,BU,89364.0
01083,2017,BU,2836489.0
01083,2012,BU,2430326.0
01083,2007,BU,523055.0
01089,2017,BU,1584835.0
01089,2012,BU,1338445.0
01089,2007,BU,445102.0
01093,2017,BU,136023.0
01093,2012,BU,78568.0
01093,2007,BU,45416.0
01103,2017,BU,321773.0
01103,2012,BU,355257.0
01103,2007,BU,97424.0
01009,2017,BU,112464.0
01009,2012,BU,105834.0
01009,2007,BU,23042.0
01015,2017,BU,94834.0
01015,2012,BU,87186.0
01015,2007,BU,29482.0
01019,2017,BU,308117.0
01019,2012,BU,545908.0
01019,2007,BU,175024.0
01029,2012,BU,9958.0
01043,2017,BU,396161.0
01043,2012,BU,358503.0
01043,2007,BU,50847.0
01049,2017,BU,667037.0
01049,2012,BU,529857.0
01049,2007,BU,161152.0
01055,2017,BU,113899.0
01055,2012,BU,76515.0
01055,2007,BU,38035.0
01071,2017,BU,1037483.0
01071,2012,BU,870206.0
01071,2007,BU,334673.0
01095,2017,BU,230183.0
01095,2012,BU,168766.0
01095,2007,BU,93770.0
01115,2012,BU,4183.0
01007,2017,BU,54154.0
01021,2017,BU,20254.0
01057,2017,BU,29838.0
01057,2012,BU,53756.0
01057,2007,BU,26218.0
01075,2017,BU,36623.0
01107,2017,BU,162362.0
01107,2012,BU,186189.0
01111,2012,BU,19120.0
01117,2017,BU,99752.0
01117,2012,BU,75581.0
01121,2017,BU,177614.0
01121,2012,BU,184195.0
01121,2007,BU,62673.0
01123,2012,BU,6825.0
01125,2017,BU,119512.0
01125,2012,BU,181101.0
01125,2007,BU,33614.0
01127,2017,BU,31180.0
01127,2012,BU,19064.0
01001,2017,BU,47675.0
01001,2012,BU,52776.0
01011,2017,BU,1380.0
01011,2012,BU,43165.0
01047,2017,BU,229996.0
01047,2012,BU,563343.0
01047,2007,BU,68449.0
01051,2017,BU,25918.0
01051,2012,BU,92362.0
01063,2012,BU,19297.0
01065,2012,BU,110809.0
01065,2007,BU,82806.0
01085,2017,BU,41280.0
01085,2012,BU,202092.0
01087,2017,BU,19315.0
01087,2012,BU,19207.0
01091,2017,BU,33157.0
01091,2012,BU,90456.0
01101,2017,BU,67672.0
01101,2012,BU,78100.0
01105,2017,BU,400153.0
