county_fips_code,year,unit_desc,Value
01033,2017,$,12390000.0
01033,2012,$,9682000.0
01033,2007,$,516000.0
01059,2017,$,721000.0
01059,2012,$,2472000.0
01059,2007,$,73000.0
01077,2017,$,12263000.0
01077,2012,$,9810000.0
01077,2007,$,846000.0
01079,2017,$,18803000.0
01079,2012,$,13592000.0
01079,2007,$,708000.0
01083,2017,$,27857000.0
01083,2012,$,32910000.0
01083,2007,$,3760000.0
01089,2017,$,15347000.0
01089,2012,$,16904000.0
01089,2007,$,3296000.0
01093,2017,$,1394000.0
01093,2012,$,1100000.0
01093,2007,$,334000.0
01103,2017,$,3141000.0
01103,2012,$,4829000.0
01103,2007,$,981000.0
01009,2017,$,1116000.0
01009,2012,$,1490000.0
01015,2017,$,912000.0
01015,2012,$,1194000.0
01015,2007,$,219000.0
01019,2017,$,2883000.0
01019,2012,$,7493000.0
01019,2007,$,1419000.0
01029,2012,$,152000.0
01043,2017,$,3725000.0
01043,2012,$,5024000.0
01043,2007,$,453000.0
01049,2017,$,6433000.0
01049,2012,$,7209000.0
01049,2007,$,1268000.0
01055,2017,$,923000.0
01055,2012,$,919000.0
01055,2007,$,318000.0
01071,2017,$,9980000.0
01071,2012,$,11902000.0
01071,2007,$,2734000.0
01095,2012,$,2285000.0
01095,2007,$,839000.0
01021,2017,$,191000.0
01057,2017,$,292000.0
01057,2012,$,693000.0
01081,2007,$,3000.0
01107,2012,$,2625000.0
01111,2012,$,265000.0
01117,2017,$,988000.0
01117,2012,$,1073000.0
01117,2007,$,41000.0
01121,2012,$,2404000.0
01121,2007,$,496000.0
01125,2017,$,1137000.0
01125,2012,$,2632000.0
01125,2007,$,337000.0
01127,2017,$,251000.0
01001,2017,$,339000.0
01001,2012,$,664000.0
01011,2017,$,16000.0
01011,2012,$,653000.0
01047,2017,$,2298000.0
01047,2012,$,7273000.0
01047,2007,$,521000.0
01051,2012,$,1303000.0
01063,2012,$,285000.0
01065,2012,$,1321000.0
01065,2007,$,704000.0
01085,2012,$,2722000.0
01091,2012,$,1192000.0
01101,2017,$,661000.0
01101,2012,$,1036000.0
01105,2012,$,3403000.0
01105,2007,$,242000.0
01119,2017,$,543000.0
01119,2012,$,1146000.0
01003,2017,$,4620000.0
01003,2012,$,8977000.0
01003,2007,$,3507000.0
01035,2012,$,351000.0
01053,2017,$,1134000.0
01053,2012,$,1525000.0
01053,2007,$,1564000.0
01097,2017,$,747000.0
01097,2012,$,1403000.0
01099,2017,$,179000.0
01099,2012,$,1700000.0
01099,2007,$,538000.0
01129,2007,$,84000.0
01005,2017,$,616000.0
01031,2017,$,434000.0
01031,2012,$,1976000.0
01031,2007,$,252000.0
01039,2017,$,274000.0
01039,2012,$,842000.0
01039,2007,$,99000.0
01041,2012,$,360000.0
01045,2017,$,214000.0
01045,2012,$,419000.0
01045,2007,$,27000.0
01061,2017,$,605000.0
01061,2012,$,892000.0
01061,2007,$,257000.0
01067,2017,$,245000.0
01067,2012,$,649000.0
01067,2007,$,292000.0
01069,2017,$,661000.0
01069,2012,$,725000.0
01069,2007,$,686000.0
01109,2017,$,775000.0
01109,2012,$,858000.0
01109,2007,$,25000.0
01113,2012,$,231000.0
05007,2017,$,1012000.0
05007,2012,$,16000.0
05007,2007,$,164000.0
05143,2007,$,15000.0
05049,2017,$,678000.0
05021,2017,$,62127000.0
05021,2012,$,75903000.0
05021,2007,$,29924000.0
05031,2017,$,58661000.0
05031,2012,$,77203000.0
05031,2007,$,29381000.0
05055,2017,$,38571000.0
