county_fips_code,year,unit_desc,Value
01033,2020,BU / ACRE,42.2
01033,2019,BU / ACRE,38.7
01033,2018,BU / ACRE,36.1
01033,2017,BU / ACRE,48.2
01033,2016,BU / ACRE,31.2
01033,2015,BU / ACRE,44.1
01033,2014,BU / ACRE,44.0
01033,2013,BU / ACRE,44.2
01033,2012,BU / ACRE,44.0
01033,2011,BU / ACRE,40.0
01033,2010,BU / ACRE,30.6
01033,2009,BU / ACRE,44.5
01033,2007,BU / ACRE,21.0
01059,2020,BU / ACRE,38.8
01059,2019,BU / ACRE,37.7
01059,2018,BU / ACRE,37.5
01059,2017,BU / ACRE,41.9
01059,2016,BU / ACRE,39.3
01059,2014,BU / ACRE,47.8
01059,2013,BU / ACRE,42.5
01059,2011,BU / ACRE,40.0
01059,2010,BU / ACRE,21.7
01077,2021,BU / ACRE,47.2
01077,2020,BU / ACRE,39.6
01077,2019,BU / ACRE,38.6
01077,2018,BU / ACRE,35.4
01077,2017,BU / ACRE,46.3
01077,2016,BU / ACRE,29.9
01077,2015,BU / ACRE,46.5
01077,2014,BU / ACRE,37.5
01077,2013,BU / ACRE,40.1
01077,2012,BU / ACRE,46.4
01077,2011,BU / ACRE,31.0
01077,2010,BU / ACRE,24.5
01077,2009,BU / ACRE,39.5
01077,2008,BU / ACRE,26.5
01077,2007,BU / ACRE,18.0
01079,2021,BU / ACRE,51.5
01079,2020,BU / ACRE,43.4
01079,2019,BU / ACRE,39.3
01079,2018,BU / ACRE,39.4
01079,2017,BU / ACRE,54.3
01079,2016,BU / ACRE,33.0
01079,2015,BU / ACRE,42.6
01079,2014,BU / ACRE,43.3
01079,2013,BU / ACRE,47.8
01079,2012,BU / ACRE,51.5
01079,2011,BU / ACRE,42.0
01079,2010,BU / ACRE,29.0
01079,2009,BU / ACRE,44.0
01079,2007,BU / ACRE,20.0
01083,2021,BU / ACRE,45.4
01083,2020,BU / ACRE,36.9
01083,2019,BU / ACRE,40.5
01083,2018,BU / ACRE,43.3
01083,2017,BU / ACRE,50.3
01083,2016,BU / ACRE,31.8
01083,2015,BU / ACRE,47.4
01083,2014,BU / ACRE,37.8
01083,2013,BU / ACRE,45.0
01083,2012,BU / ACRE,48.4
01083,2011,BU / ACRE,38.0
01083,2010,BU / ACRE,26.0
01083,2009,BU / ACRE,44.5
01083,2008,BU / ACRE,34.0
01083,2007,BU / ACRE,18.0
01089,2021,BU / ACRE,49.6
01089,2020,BU / ACRE,42.1
01089,2019,BU / ACRE,39.5
01089,2018,BU / ACRE,38.2
01089,2017,BU / ACRE,42.4
01089,2016,BU / ACRE,37.6
01089,2015,BU / ACRE,45.8
01089,2014,BU / ACRE,42.7
01089,2013,BU / ACRE,43.6
01089,2012,BU / ACRE,46.3
01089,2011,BU / ACRE,34.5
01089,2010,BU / ACRE,22.6
01089,2009,BU / ACRE,42.0
01089,2008,BU / ACRE,38.5
01089,2007,BU / ACRE,21.0
01093,2020,BU / ACRE,48.0
01093,2007,BU / ACRE,19.0
01103,2021,BU / ACRE,44.2
01103,2020,BU / ACRE,47.4
01103,2019,BU / ACRE,39.5
01103,2017,BU / ACRE,47.0
01103,2016,BU / ACRE,35.3
01103,2015,BU / ACRE,42.9
01103,2014,BU / ACRE,35.7
01103,2013,BU / ACRE,45.9
01103,2012,BU / ACRE,43.0
01103,2010,BU / ACRE,23.6
01103,2009,BU / ACRE,38.5
01103,2008,BU / ACRE,36.0
01103,2007,BU / ACRE,19.0
01009,2021,BU / ACRE,42.5
01009,2020,BU / ACRE,47.0
01009,2019,BU / ACRE,35.3
01009,2018,BU / ACRE,39.3
01009,2017,BU / ACRE,48.6
01009,2016,BU / ACRE,25.0
01009,2015,BU / ACRE,43.8
01009,2014,BU / ACRE,33.9
01009,2013,BU / ACRE,49.7
01009,2012,BU / ACRE,41.4
01009,2010,BU / ACRE,24.6
01015,2021,BU / ACRE,44.7
01015,2020,BU / ACRE,35.1
01015,2014,BU / ACRE,34.0
01015,2013,BU / ACRE,44.2
01015,2012,BU / ACRE,36.1
01015,2011,BU / ACRE,28.2
01015,2010,BU / ACRE,17.1
01015,2009,BU / ACRE,38.0
01015,2007,BU / ACRE,18.0
01019,2021,BU / ACRE,45.1
01019,2020,BU / ACRE,36.3
01019,2019,BU / ACRE,30.1
01019,2018,BU / ACRE,45.3
01019,2017,BU / ACRE,42.1
01019,2016,BU / ACRE,20.8
01019,2015,BU / ACRE,30.3
01019,2014,BU / ACRE,37.8
01019,2013,BU / ACRE,45.9
01019,2012,BU / ACRE,50.1
01019,2011,BU / ACRE,30.4
01019,2010,BU / ACRE,27.4
01019,2009,BU / ACRE,43.0
01019,2007,BU / ACRE,15.0
01043,2021,BU / ACRE,50.1
01043,2020,BU / ACRE,51.1
01043,2019,BU / ACRE,42.8
01043,2018,BU / ACRE,44.6
01043,2017,BU / ACRE,55.3
01043,2016,BU / ACRE,30.3
01043,2015,BU / ACRE,53.6
01043,2014,BU / ACRE,41.6
01043,2013,BU / ACRE,49.6
01043,2012,BU / ACRE,50.1
01043,2011,BU / ACRE,37.4
01043,2010,BU / ACRE,27.5
01043,2009,BU / ACRE,47.5
01043,2007,BU / ACRE,17.0
01049,2021,BU / ACRE,44.9
01049,2020,BU / ACRE,39.9
01049,2019,BU / ACRE,30.6
01049,2018,BU / ACRE,49.9
01049,2017,BU / ACRE,46.1
01049,2016,BU / ACRE,29.2
01049,2015,BU / ACRE,45.6
01049,2014,BU / ACRE,44.3
01049,2013,BU / ACRE,47.9
01049,2012,BU / ACRE,47.0
01049,2011,BU / ACRE,30.0
01049,2010,BU / ACRE,23.3
01049,2009,BU / ACRE,38.0
01049,2008,BU / ACRE,25.5
01049,2007,BU / ACRE,17.0
01055,2021,BU / ACRE,34.7
01055,2020,BU / ACRE,41.9
01055,2019,BU / ACRE,30.4
01055,2017,BU / ACRE,52.7
01055,2016,BU / ACRE,25.6
01055,2015,BU / ACRE,36.9
01055,2014,BU / ACRE,40.6
01055,2012,BU / ACRE,50.5
01055,2011,BU / ACRE,35.5
01055,2009,BU / ACRE,44.5
01055,2007,BU / ACRE,22.0
01071,2021,BU / ACRE,42.2
01071,2020,BU / ACRE,40.1
01071,2019,BU / ACRE,29.1
01071,2018,BU / ACRE,39.0
01071,2017,BU / ACRE,40.3
01071,2016,BU / ACRE,21.5
01071,2015,BU / ACRE,35.0
01071,2014,BU / ACRE,42.9
01071,2013,BU / ACRE,38.6
01071,2012,BU / ACRE,42.0
01071,2011,BU / ACRE,26.5
01071,2010,BU / ACRE,32.5
01071,2009,BU / ACRE,36.5
01071,2007,BU / ACRE,16.0
01095,2021,BU / ACRE,43.8
01095,2020,BU / ACRE,42.4
01095,2019,BU / ACRE,31.0
01095,2018,BU / ACRE,36.1
01095,2017,BU / ACRE,43.2
01095,2014,BU / ACRE,40.4
01095,2013,BU / ACRE,43.3
01095,2012,BU / ACRE,42.4
01095,2011,BU / ACRE,30.0
01095,2010,BU / ACRE,21.5
01095,2009,BU / ACRE,38.5
01095,2007,BU / ACRE,21.0
01021,2015,BU / ACRE,41.7
01021,2013,BU / ACRE,44.6
01057,2021,BU / ACRE,40.6
01057,2020,BU / ACRE,38.8
01057,2019,BU / ACRE,24.9
01057,2018,BU / ACRE,26.4
01057,2017,BU / ACRE,25.2
01057,2016,BU / ACRE,28.7
01057,2015,BU / ACRE,22.2
01057,2014,BU / ACRE,27.3
01057,2013,BU / ACRE,34.0
01057,2012,BU / ACRE,39.5
