county_fips_code,year,unit_desc,Value
01033,2017,BU,1620271.0
01033,2012,BU,1112828.0
01033,2007,BU,22639.0
01059,2017,BU,29509.0
01059,2012,BU,45218.0
01077,2017,BU,593775.0
01077,2012,BU,856751.0
01077,2007,BU,156624.0
01079,2017,BU,1093973.0
01079,2012,BU,1057844.0
01079,2007,BU,70426.0
01083,2017,BU,1921986.0
01083,2012,BU,1977674.0
01083,2007,BU,352683.0
01089,2017,BU,1444265.0
01089,2012,BU,1118941.0
01089,2007,BU,464362.0
01103,2017,BU,66200.0
01103,2012,BU,230490.0
01103,2007,BU,88422.0
01009,2012,BU,7400.0
01015,2012,BU,34600.0
01015,2007,BU,25135.0
01019,2017,BU,65796.0
01019,2012,BU,340717.0
01019,2007,BU,69618.0
01043,2017,BU,53735.0
01043,2012,BU,63730.0
01043,2007,BU,17630.0
01049,2017,BU,21781.0
01049,2012,BU,128387.0
01049,2007,BU,80916.0
01055,2007,BU,4435.0
01071,2017,BU,220562.0
01071,2012,BU,224703.0
01071,2007,BU,75771.0
01095,2012,BU,24308.0
01095,2007,BU,59487.0
01017,2012,BU,5950.0
01017,2007,BU,6500.0
01021,2012,BU,20813.0
01057,2017,BU,3500.0
01057,2007,BU,3536.0
01081,2012,BU,16176.0
01107,2012,BU,63396.0
01111,2012,BU,7400.0
01117,2017,BU,38550.0
01117,2012,BU,58627.0
01121,2012,BU,40560.0
01121,2007,BU,66302.0
01125,2017,BU,10450.0
01125,2012,BU,75626.0
01125,2007,BU,26977.0
01001,2017,BU,20485.0
01001,2012,BU,113862.0
01001,2007,BU,85906.0
01011,2012,BU,41747.0
01047,2012,BU,294058.0
01047,2007,BU,194778.0
01051,2012,BU,67507.0
01051,2007,BU,21671.0
01063,2012,BU,12400.0
01065,2012,BU,27288.0
01065,2007,BU,30700.0
01091,2012,BU,18950.0
01101,2012,BU,42807.0
01105,2012,BU,168280.0
01105,2007,BU,18557.0
01119,2017,BU,45580.0
01119,2012,BU,88530.0
01003,2017,BU,103107.0
01003,2012,BU,583370.0
01003,2007,BU,320941.0
01035,2012,BU,57714.0
01053,2017,BU,13189.0
01053,2012,BU,214672.0
01053,2007,BU,206488.0
01097,2012,BU,91808.0
01099,2017,BU,9725.0
01099,2012,BU,47246.0
01099,2007,BU,46760.0
01129,2012,BU,5804.0
01131,2017,BU,2955.0
01005,2017,BU,15826.0
01005,2007,BU,27872.0
01031,2012,BU,261298.0
01031,2007,BU,27955.0
01039,2017,BU,7988.0
01039,2012,BU,20600.0
01041,2012,BU,5018.0
01045,2017,BU,30820.0
01045,2012,BU,54933.0
01045,2007,BU,42623.0
01061,2017,BU,10292.0
01061,2012,BU,129050.0
01061,2007,BU,116986.0
01067,2017,BU,14472.0
01067,2012,BU,87224.0
01067,2007,BU,78159.0
01069,2012,BU,49789.0
01069,2007,BU,118295.0
01109,2012,BU,28044.0
01109,2007,BU,12800.0
01113,2012,BU,123414.0
04015,2017,BU,194534.0
04003,2017,BU,84232.0
04003,2012,BU,151883.0
04003,2007,BU,196216.0
04009,2017,BU,155292.0
04012,2017,BU,398465.0
04012,2012,BU,763886.0
04012,2007,BU,673263.0
04013,2017,BU,1516931.0
04013,2012,BU,1847354.0
04013,2007,BU,1529762.0
04019,2017,BU,521513.0
04019,2012,BU,290249.0
04019,2007,BU,368156.0
04021,2017,BU,2671462.0
04021,2012,BU,1639298.0
04021,2007,BU,1794631.0
04027,2017,BU,4710580.0
04027,2012,BU,4634748.0
04027,2007,BU,3997134.0
05007,2017,BU,27917.0
05007,2012,BU,35120.0
05143,2012,BU,25400.0
05021,2017,BU,142585.0
05021,2012,BU,391226.0
05021,2007,BU,307679.0
05031,2017,BU,295078.0
05031,2012,BU,442543.0
05031,2007,BU,508039.0
05055,2017,BU,148640.0
05055,2012,BU,379623.0
05055,2007,BU,238012.0
05063,2017,BU,47489.0
05063,2012,BU,157391.0
05063,2007,BU,203601.0
05067,2017,BU,348747.0
05067,2012,BU,1099190.0
05067,2007,BU,830340.0
05075,2017,BU,19965.0
05075,2012,BU,323294.0
05075,2007,BU,297371.0
05093,2017,BU,580406.0
05093,2012,BU,1543188.0
05093,2007,BU,1233790.0
05111,2017,BU,312622.0
05111,2012,BU,1001671.0
05111,2007,BU,880890.0
05121,2012,BU,95060.0
05121,2007,BU,108085.0
05145,2017,BU,72072.0
05145,2012,BU,173818.0
05145,2007,BU,207173.0
05033,2017,BU,82198.0
05033,2012,BU,300898.0
05033,2007,BU,25867.0
05071,2012,BU,72715.0
05071,2007,BU,12578.0
05083,2012,BU,80900.0
05083,2007,BU,43308.0
05115,2012,BU,177535.0
05115,2007,BU,31739.0
05131,2012,BU,17904.0
05131,2007,BU,6134.0
05149,2012,BU,26055.0
05149,2007,BU,38910.0
05029,2017,BU,110082.0
05029,2012,BU,221756.0
05029,2007,BU,187455.0
05045,2012,BU,62467.0
05045,2007,BU,65805.0
05053,2012,BU,4080.0
05105,2012,BU,40872.0
05119,2017,BU,23000.0
05119,2012,BU,259916.0
05119,2007,BU,236438.0
05001,2017,BU,354645.0
05001,2012,BU,1781675.0
05001,2007,BU,3232782.0
05035,2017,BU,547872.0
05035,2012,BU,1865149.0
05035,2007,BU,1970198.0
05037,2017,BU,299311.0
05037,2012,BU,1073973.0
05037,2007,BU,1270422.0
05077,2017,BU,255045.0
05077,2012,BU,1584755.0
05077,2007,BU,1442930.0
05085,2017,BU,178004.0
05085,2012,BU,764868.0
05085,2007,BU,1287619.0
05095,2017,BU,441195.0
05095,2012,BU,1626204.0
05095,2007,BU,1182819.0
05107,2017,BU,496884.0
05107,2012,BU,1908378.0
05107,2007,BU,1801722.0
05117,2017,BU,90107.0
05117,2012,BU,394632.0
05117,2007,BU,1203016.0
05123,2017,BU,130898.0
05123,2012,BU,1178488.0
05123,2007,BU,1469025.0
05147,2017,BU,318995.0
05147,2012,BU,982018.0
05147,2007,BU,933653.0
05073,2017,BU,141343.0
05073,2012,BU,377174.0
05073,2007,BU,473742.0
05081,2017,BU,185449.0
05081,2012,BU,304467.0
05081,2007,BU,188193.0
05091,2017,BU,241626.0
05091,2012,BU,993628.0
05091,2007,BU,1084646.0
05003,2017,BU,95920.0
05003,2012,BU,337015.0
05003,2007,BU,332358.0
05017,2017,BU,134380.0
05017,2012,BU,969105.0
05017,2007,BU,741508.0
05041,2017,BU,109667.0
05041,2012,BU,500774.0
05041,2007,BU,1349019.0
05043,2017,BU,76444.0
05043,2012,BU,77757.0
05043,2007,BU,257733.0
05069,2017,BU,217809.0
05069,2012,BU,1100044.0
05069,2007,BU,1781706.0
05079,2017,BU,120155.0
05079,2012,BU,448059.0
05079,2007,BU,306519.0
06023,2017,BU,975.0
06089,2017,BU,10830.0
06089,2012,BU,21851.0
06093,2017,BU,532536.0
06093,2012,BU,2143408.0
06093,2007,BU,1262205.0
06035,2017,BU,74272.0
06035,2012,BU,62109.0
06035,2007,BU,35747.0
06049,2017,BU,766022.0
06049,2012,BU,981004.0
06049,2007,BU,445385.0
06013,2012,BU,664281.0
06013,2007,BU,51942.0
06033,2012,BU,231.0
06041,2017,BU,411.0
06041,2012,BU,99.0
06053,2012,BU,69696.0
06069,2017,BU,10721.0
06069,2012,BU,27744.0
06079,2007,BU,71989.0
06097,2017,BU,25355.0
06007,2012,BU,136176.0
06007,2007,BU,175201.0
06011,2017,BU,529998.0
06011,2012,BU,1080820.0
06011,2007,BU,1546749.0
06021,2017,BU,253457.0
06021,2012,BU,382004.0
06021,2007,BU,611514.0
06067,2017,BU,225499.0
06067,2012,BU,246193.0
06067,2007,BU,676115.0
06095,2017,BU,657641.0
06095,2012,BU,1390326.0
06095,2007,BU,1411064.0
06101,2017,BU,337986.0
06101,2012,BU,733262.0
06101,2007,BU,1261588.0
06103,2017,BU,64853.0
06103,2012,BU,136840.0
06103,2007,BU,89365.0
06113,2017,BU,1825470.0
06113,2012,BU,2715803.0
06113,2007,BU,2758271.0
06115,2012,BU,94603.0
06019,2017,BU,3087441.0
06019,2012,BU,5833793.0
06019,2007,BU,3045130.0
06029,2017,BU,841165.0
06029,2012,BU,3452162.0
06029,2007,BU,3681204.0
06031,2017,BU,1675035.0
06031,2012,BU,4950017.0
06031,2007,BU,3591592.0
06039,2017,BU,182899.0
06039,2012,BU,313134.0
06039,2007,BU,377522.0
06047,2017,BU,1008236.0
06047,2012,BU,2453710.0
06047,2007,BU,679844.0
06077,2017,BU,967704.0
06077,2012,BU,2182113.0
06077,2007,BU,1347612.0
06099,2017,BU,48080.0
06099,2012,BU,345745.0
06099,2007,BU,79567.0
06107,2017,BU,1195686.0
06107,2012,BU,3246350.0
06107,2007,BU,1763757.0
06061,2012,BU,21850.0
06109,2012,BU,165.0
06025,2017,BU,1822527.0
06025,2012,BU,8880319.0
06025,2007,BU,4366550.0
06065,2017,BU,934983.0
06065,2012,BU,288435.0
06065,2007,BU,337879.0
06071,2012,BU,4668.0
06083,2017,BU,24900.0
06083,2007,BU,329966.0
08037,2017,BU,8640.0
08049,2007,BU,18000.0
08081,2017,BU,275489.0
08081,2012,BU,154275.0
08081,2007,BU,188860.0
08103,2007,BU,15760.0
08107,2017,BU,27150.0
08107,2012,BU,70411.0
08107,2007,BU,64018.0
08013,2017,BU,127600.0
08013,2012,BU,119429.0
08013,2007,BU,116607.0
08014,2012,BU,130474.0
08014,2007,BU,41585.0
08069,2017,BU,179550.0
08069,2012,BU,344146.0
08069,2007,BU,379173.0
08075,2017,BU,4932807.0
08075,2012,BU,4015250.0
08075,2007,BU,4762234.0
08087,2017,BU,2928395.0
08087,2012,BU,2220174.0
08087,2007,BU,2503302.0
08115,2017,BU,3335823.0
08115,2012,BU,2496630.0
08115,2007,BU,2991016.0
08123,2017,BU,4850219.0
08123,2012,BU,4604146.0
08123,2007,BU,3970577.0
08001,2017,BU,7727255.0
08001,2012,BU,6306838.0
08001,2007,BU,6440356.0
08005,2017,BU,1308309.0
08005,2012,BU,1002420.0
08005,2007,BU,1651896.0
08017,2017,BU,8446362.0
08017,2012,BU,4562942.0
08017,2007,BU,6504014.0
08035,2017,BU,40546.0
08035,2012,BU,14037.0
08035,2007,BU,54824.0
08039,2017,BU,603510.0
08039,2012,BU,724589.0
08039,2007,BU,1158565.0
08041,2017,BU,15910.0
08041,2012,BU,19331.0
08041,2007,BU,28328.0
08061,2017,BU,5366284.0
08061,2012,BU,3559798.0
08061,2007,BU,7681354.0
08063,2017,BU,11989239.0
08063,2012,BU,7913591.0
08063,2007,BU,9859777.0
08073,2017,BU,5524694.0
08073,2012,BU,4516495.0
08073,2007,BU,5584365.0
08095,2017,BU,5300991.0
08095,2012,BU,3456790.0
08095,2007,BU,4257106.0
08121,2017,BU,8533713.0
08121,2012,BU,7364801.0
08121,2007,BU,8871194.0
08125,2017,BU,5213712.0
08125,2012,BU,4301051.0
08125,2007,BU,6030256.0
08007,2007,BU,3624.0
08029,2017,BU,151797.0
08029,2012,BU,36270.0
08029,2007,BU,11929.0
08033,2017,BU,239470.0
08033,2012,BU,187557.0
08033,2007,BU,214830.0
08045,2017,BU,9493.0
08067,2017,BU,38710.0
08067,2012,BU,28682.0
08067,2007,BU,34725.0
08077,2017,BU,273286.0
08077,2012,BU,292629.0
08077,2007,BU,199446.0
08083,2017,BU,917138.0
08083,2012,BU,398482.0
08083,2007,BU,71957.0
08085,2017,BU,27840.0
08085,2012,BU,45767.0
08085,2007,BU,22765.0
08113,2017,BU,12946.0
08003,2017,BU,122710.0
08003,2012,BU,157267.0
08003,2007,BU,266094.0
08021,2017,BU,36110.0
08021,2012,BU,23425.0
08021,2007,BU,116147.0
08023,2017,BU,162114.0
08105,2017,BU,176455.0
08105,2012,BU,325834.0
08105,2007,BU,528302.0
08109,2017,BU,191203.0
08109,2012,BU,265512.0
08109,2007,BU,742836.0
08009,2017,BU,4012111.0
08009,2012,BU,4710723.0
08009,2007,BU,6107211.0
08011,2017,BU,215168.0
08011,2012,BU,270666.0
08011,2007,BU,585126.0
08025,2012,BU,6756.0
08025,2007,BU,25101.0
08055,2012,BU,1488.0
08071,2017,BU,101558.0
08071,2012,BU,41135.0
08071,2007,BU,192050.0
08089,2017,BU,55229.0
08089,2012,BU,130027.0
08089,2007,BU,310983.0
08099,2017,BU,4761603.0
08099,2012,BU,2761330.0
08099,2007,BU,5571418.0
08101,2012,BU,17049.0
08101,2007,BU,87946.0
09003,2017,BU,1620.0
09009,2012,BU,240.0
10003,2017,BU,516495.0
10003,2012,BU,807048.0
10003,2007,BU,592953.0
10001,2017,BU,1489740.0
10001,2012,BU,2143443.0
10001,2007,BU,1461464.0
10005,2017,BU,1759706.0
10005,2012,BU,2938325.0
10005,2007,BU,1581338.0
12013,2012,BU,6678.0
12033,2012,BU,206579.0
12033,2007,BU,298401.0
12059,2017,BU,54745.0
12059,2007,BU,11538.0
12063,2017,BU,22391.0
12063,2012,BU,51070.0
12063,2007,BU,32112.0
12065,2017,BU,12790.0
12065,2007,BU,8180.0
12113,2017,BU,89150.0
12113,2012,BU,343144.0
12131,2012,BU,12232.0
12133,2007,BU,16252.0
12047,2012,BU,20000.0
12067,2017,BU,6105.0
12125,2017,BU,36000.0
12061,2017,BU,27750.0
12081,2007,BU,5812.0
13015,2012,BU,92368.0
13015,2007,BU,40200.0
13055,2007,BU,4827.0
13129,2012,BU,26092.0
13233,2012,BU,61602.0
13295,2012,BU,120630.0
13313,2012,BU,5484.0
13139,2012,BU,22698.0
13157,2017,BU,13308.0
13157,2012,BU,12985.0
13157,2007,BU,27124.0
13219,2012,BU,10632.0
13219,2007,BU,2140.0
13297,2017,BU,9510.0
13297,2012,BU,39966.0
13297,2007,BU,23535.0
13011,2007,BU,1002.0
13105,2017,BU,102100.0
13105,2012,BU,59817.0
13119,2017,BU,16936.0
13119,2012,BU,33526.0
13119,2007,BU,2863.0
13147,2017,BU,110886.0
13147,2012,BU,103535.0
13147,2007,BU,61688.0
13195,2017,BU,37007.0
13195,2012,BU,38433.0
13195,2007,BU,14387.0
13221,2017,BU,21980.0
13221,2012,BU,81930.0
13221,2007,BU,42816.0
13257,2012,BU,5250.0
13317,2007,BU,12899.0
13077,2017,BU,18720.0
13077,2012,BU,38465.0
13145,2012,BU,7292.0
13145,2007,BU,4400.0
13151,2007,BU,12538.0
13193,2017,BU,211128.0
13193,2012,BU,262517.0
13193,2007,BU,262679.0
13197,2012,BU,12770.0
13197,2007,BU,22613.0
13199,2012,BU,10962.0
13231,2012,BU,19304.0
13249,2012,BU,24499.0
13249,2007,BU,22759.0
13255,2012,BU,23565.0
13269,2017,BU,7966.0
13269,2012,BU,139683.0
13269,2007,BU,67637.0
13293,2007,BU,2560.0
13009,2007,BU,7328.0
13021,2012,BU,53192.0
13021,2007,BU,31550.0
13023,2017,BU,41140.0
13023,2012,BU,183266.0
13023,2007,BU,140186.0
13035,2012,BU,7010.0
13035,2007,BU,2070.0
13079,2012,BU,42442.0
13091,2017,BU,15518.0
13091,2012,BU,86190.0
13091,2007,BU,85695.0
13153,2012,BU,168929.0
13153,2007,BU,53805.0
13159,2017,BU,3520.0
13159,2012,BU,15000.0
13159,2007,BU,5549.0
13167,2017,BU,3519.0
13167,2012,BU,91447.0
13167,2007,BU,70120.0
13175,2017,BU,51986.0
13175,2012,BU,318073.0
13175,2007,BU,263530.0
13209,2017,BU,4898.0
13209,2012,BU,102150.0
13209,2007,BU,53021.0
13211,2017,BU,52120.0
13211,2012,BU,143088.0
13211,2007,BU,40567.0
13217,2012,BU,72570.0
13217,2007,BU,14750.0
13225,2012,BU,325397.0
13225,2007,BU,242087.0
13235,2017,BU,27168.0
13235,2012,BU,258586.0
13235,2007,BU,136494.0
13289,2012,BU,16450.0
13289,2007,BU,1272.0
13303,2017,BU,33780.0
13303,2012,BU,309249.0
13303,2007,BU,203262.0
13309,2017,BU,3273.0
13309,2012,BU,124450.0
13309,2007,BU,80845.0
13319,2012,BU,57224.0
13319,2007,BU,14744.0
13031,2017,BU,135468.0
13031,2012,BU,100979.0
13031,2007,BU,179490.0
13033,2017,BU,76609.0
13033,2012,BU,339165.0
13033,2007,BU,331030.0
13043,2017,BU,24880.0
13043,2012,BU,101435.0
13043,2007,BU,36152.0
13073,2012,BU,2515.0
13073,2007,BU,640.0
13103,2012,BU,50000.0
13103,2007,BU,5455.0
13107,2017,BU,40969.0
13107,2012,BU,145702.0
13107,2007,BU,105364.0
13125,2017,BU,28715.0
13125,2012,BU,29220.0
13163,2017,BU,112514.0
13163,2012,BU,428234.0
13163,2007,BU,291798.0
13165,2012,BU,24148.0
13165,2007,BU,83231.0
13245,2012,BU,4340.0
13251,2017,BU,56527.0
13251,2012,BU,177244.0
13251,2007,BU,120493.0
13301,2017,BU,12576.0
13301,2012,BU,36265.0
13301,2007,BU,16350.0
13007,2012,BU,93954.0
13007,2007,BU,27900.0
13037,2012,BU,305640.0
13037,2007,BU,253378.0
13061,2012,BU,188119.0
13061,2007,BU,151154.0
13087,2012,BU,161045.0
13087,2007,BU,322212.0
13095,2012,BU,3420.0
13095,2007,BU,36736.0
13099,2017,BU,125283.0
13099,2012,BU,240176.0
13099,2007,BU,225110.0
13131,2017,BU,8850.0
13131,2012,BU,40132.0
13131,2007,BU,66658.0
13177,2017,BU,75305.0
13177,2012,BU,467467.0
13177,2007,BU,356537.0
13201,2017,BU,42380.0
13201,2012,BU,188284.0
13201,2007,BU,124082.0
13205,2012,BU,50672.0
13205,2007,BU,170687.0
13243,2017,BU,131455.0
13243,2012,BU,327874.0
13243,2007,BU,509128.0
13253,2012,BU,161600.0
13253,2007,BU,217534.0
13259,2012,BU,26360.0
13259,2007,BU,35842.0
13261,2017,BU,129742.0
13261,2012,BU,525270.0
13261,2007,BU,420827.0
13273,2017,BU,89794.0
13273,2012,BU,397753.0
13273,2007,BU,397460.0
13275,2012,BU,149740.0
13275,2007,BU,73535.0
13307,2012,BU,42422.0
13307,2007,BU,59574.0
13003,2007,BU,25120.0
13017,2012,BU,29231.0
13017,2007,BU,155625.0
13019,2012,BU,46926.0
13019,2007,BU,58573.0
13027,2017,BU,64288.0
13027,2012,BU,155080.0
13027,2007,BU,57808.0
13069,2012,BU,58108.0
13069,2007,BU,115331.0
13071,2017,BU,43693.0
13071,2012,BU,193263.0
13071,2007,BU,118258.0
13075,2007,BU,24000.0
13081,2017,BU,39365.0
13081,2012,BU,106437.0
13081,2007,BU,109792.0
13093,2017,BU,256110.0
13093,2012,BU,347048.0
13093,2007,BU,310793.0
13155,2017,BU,35161.0
13155,2012,BU,86089.0
13155,2007,BU,146312.0
13161,2012,BU,39000.0
13161,2007,BU,29649.0
13173,2007,BU,14963.0
13185,2007,BU,4800.0
13271,2012,BU,30789.0
13271,2007,BU,82956.0
13277,2017,BU,40626.0
13277,2012,BU,94460.0
13277,2007,BU,69768.0
13287,2017,BU,93074.0
13287,2012,BU,100677.0
13287,2007,BU,289280.0
13315,2012,BU,98484.0
13315,2007,BU,55117.0
13321,2012,BU,231322.0
13321,2007,BU,159013.0
13001,2017,BU,66106.0
13001,2012,BU,67529.0
13001,2007,BU,48094.0
13005,2007,BU,34394.0
13109,2012,BU,16722.0
13109,2007,BU,58116.0
13229,2017,BU,23560.0
13229,2012,BU,91822.0
13229,2007,BU,60662.0
13267,2012,BU,78787.0
13267,2007,BU,122289.0
13279,2017,BU,29099.0
13279,2012,BU,82466.0
13279,2007,BU,19350.0
13299,2012,BU,9545.0
13305,2012,BU,119760.0
13305,2007,BU,82050.0
16009,2017,BU,1656938.0
16009,2012,BU,2011625.0
16009,2007,BU,2257031.0
16017,2017,BU,17918.0
16017,2012,BU,12500.0
16021,2017,BU,623612.0
16021,2012,BU,887087.0
16021,2007,BU,1096223.0
16035,2017,BU,445590.0
16035,2012,BU,652957.0
16035,2007,BU,553002.0
16049,2017,BU,3379419.0
16049,2012,BU,5922408.0
16049,2007,BU,5151115.0
16055,2017,BU,666235.0
16055,2012,BU,1106336.0
16055,2007,BU,626910.0
16057,2017,BU,5945976.0
16057,2012,BU,6983268.0
16057,2007,BU,6279048.0
16061,2017,BU,3084711.0
16061,2012,BU,5804623.0
16061,2007,BU,4881944.0
16069,2017,BU,6951420.0
16069,2012,BU,5807539.0
16069,2007,BU,6581267.0
16001,2017,BU,923576.0
16001,2012,BU,745929.0
16001,2007,BU,491491.0
16027,2017,BU,3370626.0
16027,2012,BU,3632254.0
16027,2007,BU,2519780.0
16039,2017,BU,1931797.0
16039,2012,BU,1545349.0
16039,2007,BU,863248.0
16045,2017,BU,159306.0
16045,2012,BU,231406.0
16045,2007,BU,325827.0
16073,2017,BU,1075748.0
16073,2012,BU,1045076.0
16073,2007,BU,708486.0
16075,2017,BU,734091.0
16075,2012,BU,510127.0
16075,2007,BU,517287.0
16087,2017,BU,496864.0
16087,2012,BU,604170.0
16087,2007,BU,614617.0
16013,2017,BU,107524.0
16013,2012,BU,96802.0
16025,2017,BU,210882.0
16025,2012,BU,149524.0
16031,2017,BU,6363251.0
16031,2012,BU,5889623.0
16031,2007,BU,6402127.0
16047,2017,BU,382375.0
16047,2012,BU,948075.0
16047,2007,BU,299710.0
16053,2017,BU,993332.0
16053,2012,BU,1358511.0
16053,2007,BU,1294056.0
16063,2017,BU,875857.0
16063,2012,BU,590194.0
16063,2007,BU,732722.0
16067,2017,BU,3101536.0
16067,2012,BU,3867031.0
16067,2007,BU,3656390.0
16083,2017,BU,2254387.0
16083,2012,BU,3033050.0
16083,2007,BU,2651024.0
16005,2017,BU,1560188.0
16005,2012,BU,1628846.0
16005,2007,BU,1303908.0
16007,2017,BU,315768.0
16007,2012,BU,274552.0
16007,2007,BU,74758.0
16011,2017,BU,15108312.0
16011,2012,BU,15269685.0
16011,2007,BU,12369771.0
16019,2017,BU,3457894.0
16019,2012,BU,2907064.0
16019,2007,BU,2909716.0
16023,2017,BU,1040137.0
16023,2012,BU,586895.0
16023,2007,BU,205263.0
16029,2017,BU,2690553.0
16029,2012,BU,1730728.0
16029,2007,BU,1712559.0
16033,2017,BU,804045.0
16033,2012,BU,805685.0
16033,2007,BU,505137.0
16041,2017,BU,863381.0
16041,2012,BU,822026.0
16041,2007,BU,709034.0
16043,2017,BU,2949938.0
16043,2012,BU,3548650.0
16043,2007,BU,2226929.0
16051,2017,BU,4804249.0
16051,2012,BU,3803515.0
16051,2007,BU,3614207.0
16065,2017,BU,4468117.0
16065,2012,BU,3726458.0
16065,2007,BU,3344649.0
16071,2017,BU,1001993.0
16071,2012,BU,822810.0
16071,2007,BU,864097.0
16077,2017,BU,9008741.0
16077,2012,BU,6931778.0
16077,2007,BU,5746383.0
16081,2017,BU,322659.0
16081,2012,BU,424523.0
16081,2007,BU,426508.0
17011,2017,BU,64898.0
17011,2012,BU,168568.0
17011,2007,BU,271335.0
17015,2017,BU,103705.0
17015,2012,BU,119878.0
17015,2007,BU,86819.0
17073,2017,BU,62680.0
17073,2012,BU,65060.0
17073,2007,BU,203469.0
17085,2017,BU,58632.0
17085,2012,BU,58174.0
17085,2007,BU,36367.0
17103,2017,BU,81802.0
17103,2012,BU,143725.0
17103,2007,BU,200708.0
17131,2017,BU,23742.0
17131,2012,BU,34564.0
17131,2007,BU,85889.0
17141,2017,BU,192783.0
17141,2012,BU,273516.0
17141,2007,BU,395708.0
17155,2017,BU,24158.0
17155,2012,BU,35447.0
17155,2007,BU,16294.0
17161,2017,BU,8217.0
17161,2012,BU,24477.0
17161,2007,BU,46984.0
17177,2017,BU,228670.0
17177,2012,BU,217413.0
17177,2007,BU,244509.0
17195,2017,BU,149347.0
17195,2012,BU,114301.0
17195,2007,BU,245246.0
17201,2017,BU,231424.0
17201,2012,BU,271347.0
