county_fips_code,year,unit_desc,Value
01033,2017,$,6687000.0
01033,2007,$,99000.0
01059,2017,$,134000.0
01077,2007,$,703000.0
01079,2012,$,6700000.0
01079,2007,$,326000.0
01083,2017,$,9046000.0
01083,2012,$,12664000.0
01083,2007,$,1444000.0
01089,2017,$,6489000.0
01103,2007,$,407000.0
01015,2017,$,96000.0
01015,2012,$,235000.0
01019,2017,$,303000.0
01019,2012,$,2117000.0
01019,2007,$,333000.0
01043,2017,$,244000.0
01043,2012,$,413000.0
01049,2017,$,100000.0
01049,2012,$,820000.0
01049,2007,$,337000.0
01071,2012,$,1434000.0
01095,2012,$,143000.0
01017,2012,$,33000.0
01017,2007,$,29000.0
01021,2012,$,121000.0
01111,2012,$,50000.0
01117,2017,$,201000.0
01117,2012,$,306000.0
01121,2012,$,298000.0
01121,2007,$,314000.0
01125,2017,$,48000.0
01001,2012,$,679000.0
01001,2007,$,394000.0
01011,2012,$,291000.0
01047,2012,$,1841000.0
01047,2007,$,779000.0
01051,2012,$,458000.0
01051,2007,$,129000.0
01065,2012,$,165000.0
01087,2007,$,208000.0
01101,2012,$,183000.0
01105,2012,$,1014000.0
01105,2007,$,82000.0
01119,2012,$,567000.0
01003,2017,$,531000.0
01003,2012,$,3680000.0
01003,2007,$,1357000.0
01035,2012,$,334000.0
01053,2017,$,42000.0
01053,2012,$,1333000.0
01053,2007,$,912000.0
01097,2012,$,638000.0
01099,2007,$,220000.0
01005,2017,$,49000.0
01005,2007,$,125000.0
01031,2012,$,1735000.0
01031,2007,$,127000.0
01045,2017,$,138000.0
01045,2012,$,335000.0
01045,2007,$,206000.0
01061,2017,$,47000.0
01061,2012,$,805000.0
01061,2007,$,373000.0
01067,2017,$,67000.0
01067,2012,$,472000.0
01067,2007,$,308000.0
01069,2012,$,283000.0
01069,2007,$,455000.0
01109,2012,$,169000.0
01109,2007,$,52000.0
01113,2012,$,719000.0
04001,2017,$,5000.0
04003,2017,$,543000.0
04003,2012,$,1596000.0
04003,2007,$,971000.0
04009,2017,$,995000.0
04009,2012,$,1042000.0
04012,2007,$,3428000.0
04013,2017,$,9745000.0
04013,2012,$,16291000.0
04013,2007,$,9005000.0
04019,2012,$,2694000.0
04019,2007,$,1961000.0
04021,2017,$,17203000.0
04021,2012,$,19810000.0
04021,2007,$,9238000.0
04027,2017,$,32240000.0
04027,2012,$,46077000.0
04027,2007,$,20733000.0
05007,2017,$,124000.0
05007,2012,$,277000.0
05143,2012,$,158000.0
05021,2017,$,587000.0
05021,2012,$,2626000.0
05021,2007,$,1239000.0
05031,2012,$,3018000.0
05031,2007,$,2113000.0
05055,2017,$,470000.0
05055,2012,$,2585000.0
05055,2007,$,1044000.0
05063,2017,$,191000.0
05063,2012,$,1025000.0
05063,2007,$,987000.0
05067,2017,$,1595000.0
05067,2012,$,7477000.0
05067,2007,$,3494000.0
05075,2012,$,2246000.0
05075,2007,$,1215000.0
