county_fips_code,year,unit_desc,Value
01077,2007,BU / ACRE,37.0
01083,2007,BU / ACRE,30.0
01089,2007,BU / ACRE,40.0
01049,2007,BU / ACRE,41.0
01071,2007,BU / ACRE,36.0
01003,2007,BU / ACRE,54.0
01053,2007,BU / ACRE,53.0
01067,2007,BU / ACRE,46.0
01069,2007,BU / ACRE,42.0
05021,2007,BU / ACRE,35.0
05031,2007,BU / ACRE,43.0
05055,2007,BU / ACRE,24.0
05063,2007,BU / ACRE,28.0
05067,2007,BU / ACRE,33.0
05075,2007,BU / ACRE,35.0
05093,2007,BU / ACRE,50.0
05111,2007,BU / ACRE,42.0
05121,2007,BU / ACRE,28.0
05145,2007,BU / ACRE,28.0
05033,2007,BU / ACRE,22.0
05149,2007,BU / ACRE,35.0
05029,2007,BU / ACRE,32.0
05119,2007,BU / ACRE,39.0
05001,2007,BU / ACRE,37.0
05035,2007,BU / ACRE,36.0
05037,2007,BU / ACRE,35.0
05077,2007,BU / ACRE,45.0
05085,2007,BU / ACRE,44.0
05095,2007,BU / ACRE,36.0
05107,2007,BU / ACRE,43.0
05117,2007,BU / ACRE,43.0
05123,2007,BU / ACRE,37.0
05147,2007,BU / ACRE,33.0
05073,2007,BU / ACRE,53.0
05081,2007,BU / ACRE,49.0
05091,2007,BU / ACRE,50.0
05003,2007,BU / ACRE,57.0
05017,2007,BU / ACRE,58.0
05041,2007,BU / ACRE,54.0
05043,2007,BU / ACRE,47.0
05069,2007,BU / ACRE,50.0
05079,2007,BU / ACRE,50.0
06093,2007,BU / ACRE,90.7
06035,2007,BU / ACRE,50.0
06049,2007,BU / ACRE,98.8
06013,2007,BU / ACRE,58.9
06053,2007,BU / ACRE,78.0
06079,2007,BU / ACRE,76.0
06007,2007,BU / ACRE,70.0
06011,2007,BU / ACRE,82.8
06021,2007,BU / ACRE,95.1
06067,2007,BU / ACRE,84.0
06095,2007,BU / ACRE,65.7
06101,2007,BU / ACRE,83.0
06103,2007,BU / ACRE,105.0
06113,2007,BU / ACRE,76.7
06115,2007,BU / ACRE,91.7
06019,2007,BU / ACRE,92.2
06029,2007,BU / ACRE,90.6
06031,2007,BU / ACRE,78.2
06039,2007,BU / ACRE,88.1
06047,2007,BU / ACRE,85.3
06077,2007,BU / ACRE,89.0
06099,2007,BU / ACRE,72.7
06107,2007,BU / ACRE,79.5
06025,2007,BU / ACRE,106.7
06065,2007,BU / ACRE,50.0
06083,2007,BU / ACRE,98.4
08081,2007,BU / ACRE,15.5
08103,2007,BU / ACRE,14.0
08107,2007,BU / ACRE,23.5
08013,2007,BU / ACRE,44.0
08014,2007,BU / ACRE,23.5
08069,2007,BU / ACRE,44.0
08075,2007,BU / ACRE,34.0
08087,2007,BU / ACRE,45.5
08115,2007,BU / ACRE,40.0
08123,2007,BU / ACRE,34.5
08001,2007,BU / ACRE,34.0
08005,2007,BU / ACRE,36.5
08017,2007,BU / ACRE,35.0
08031,2007,BU / ACRE,22.0
08035,2007,BU / ACRE,34.5
08039,2007,BU / ACRE,35.0
08041,2007,BU / ACRE,34.0
08061,2007,BU / ACRE,44.0
08063,2007,BU / ACRE,42.5
08073,2007,BU / ACRE,32.0
08095,2007,BU / ACRE,42.5
08121,2007,BU / ACRE,38.0
08125,2007,BU / ACRE,46.5
08029,2007,BU / ACRE,100.0
08033,2007,BU / ACRE,19.0
08045,2007,BU / ACRE,50.0
08067,2007,BU / ACRE,18.5
08077,2007,BU / ACRE,116.5
08083,2007,BU / ACRE,23.5
08085,2007,BU / ACRE,85.0
08113,2007,BU / ACRE,45.0
08003,2007,BU / ACRE,101.0
08021,2007,BU / ACRE,86.5
08023,2007,BU / ACRE,107.0
08105,2007,BU / ACRE,111.0
